"Status","Year","Age","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
