"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","AO","25","25","21210","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","EO","55","50","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G6","15","15","60770","57390"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G7","55","50","48630","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","HEO","110","105","29760","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SEO","90","85","37160","36580"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AO","10","10","21050","21050"
