"Status","Year","Age","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Inner London - West","[c]","[c]","[c]","[c]"
