"Status","Year","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Female","Heterosexual / straight","36890","34860","42260","36360"
"In post","2021","London","Female","LGBO","2135","2080","42250","36650"
"In post","2021","London","Female","Undeclared","4645","4350","40830","35200"
"In post","2021","London","Female","Unknown","11590","10905","41280","34550"
"In post","2021","London","Male","Heterosexual / straight","29405","28870","45100","39600"
"In post","2021","London","Male","LGBO","2965","2930","46700","41950"
"In post","2021","London","Male","Undeclared","4380","4265","45120","40220"
"In post","2021","London","Male","Unknown","9890","9720","44320","37230"
"In post","2021","London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Outside London","Female","Heterosexual / straight","137600","123565","30190","27570"
"In post","2021","Outside London","Female","LGBO","6820","6540","29600","27570"
"In post","2021","Outside London","Female","Undeclared","17905","15700","29430","27130"
"In post","2021","Outside London","Female","Unknown","42395","36985","28420","25630"
"In post","2021","Outside London","Male","Heterosexual / straight","109565","106010","32820","28650"
"In post","2021","Outside London","Male","LGBO","6655","6485","30960","27570"
"In post","2021","Outside London","Male","Undeclared","16250","15515","32970","29350"
"In post","2021","Outside London","Male","Unknown","38250","36620","31120","27570"
"In post","2021","Outside London","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Overseas","Female","Heterosexual / straight","945","940","49570","50940"
"In post","2021","Overseas","Female","LGBO","55","55","47100","41460"
"In post","2021","Overseas","Female","Undeclared","140","140","45590","40330"
"In post","2021","Overseas","Female","Unknown","360","355","49730","46620"
"In post","2021","Overseas","Male","Heterosexual / straight","1550","1545","50130","49640"
"In post","2021","Overseas","Male","LGBO","115","115","53650","54040"
"In post","2021","Overseas","Male","Undeclared","230","230","48910","42110"
"In post","2021","Overseas","Male","Unknown","355","355","52180","52430"
"In post","2021","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Heterosexual / straight","565","520","32640","27570"
"In post","2021","Unknown","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Unknown","Female","Undeclared","65","60","31870","27570"
"In post","2021","Unknown","Female","Unknown","545","525","33680","30780"
"In post","2021","Unknown","Male","Heterosexual / straight","440","430","34470","28120"
"In post","2021","Unknown","Male","LGBO","40","35","34140","27570"
