"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","AO","15","15","19200","18880"
"In post","2021","16-19","HM Land Registry","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","AO","10","10","22350","22350"
"In post","2021","16-19","HM Prison and Probation Service","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","AA","35","35","20530","20600"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","AO","50","50","24080","22850"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","AO","210","195","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","EO","15","15","25560","25560"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","EO","20","20","24550","24300"
"In post","2021","16-19","Home Office (incl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","AO","65","60","21430","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","AA","15","15","19050","19560"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","AO","25","25","21680","20920"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","London","EO","[c]","[c]","[c]","[c]"
