"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","Outside London","20","20","21750","21950"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","Outside London","15","15","16460","15820"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","Outside London","20","20","19170","19040"
"In post","2021","16-19","Defence Equipment and Support","Other","Outside London","20","20","17930","17780"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","Outside London","65","65","17850","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Science and Engineering","Outside London","15","15","17150","16990"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","190","185","22310","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Outside London","35","25","19020","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Property","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","FCDO Services","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Operational Delivery","London","15","15","20920","20180"
"In post","2021","16-19","HM Courts and Tribunals Service","Operational Delivery","Outside London","25","25","18380","18880"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Operational Delivery","Outside London","90","90","22450","22600"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Finance","Outside London","10","5","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","30","30","20320","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Tax","Outside London","150","145","20350","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","30","25","20510","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Policy","London","10","10","24140","24300"
"In post","2021","16-19","HM Treasury (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Operational Delivery","Outside London","65","60","21480","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Operational Delivery","Outside London","10","10","20680","20880"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Other","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Security","Outside London","15","15","21360","19560"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","16-19","Public Health England","Operational Delivery","Outside London","10","10","19200","18850"
"In post","2021","16-19","Public Health England","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Unknown","Outside London","45","45","21410","21150"
"In post","2021","16-19","Scottish Prison Service","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Unknown","Outside London","10","10","21330","20610"
"In post","2021","16-19","Student Awards Agency for Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Science and Engineering","Outside London","15","15","16840","16780"
"In post","2021","16-19","The National Archives","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","Outside London","10","10","19090","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Property","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Unknown","Outside London","10","10","24090","22230"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","90","85","25230","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Operational Delivery","London","20","20","31110","31460"
"In post","2021","20-29","Animal and Plant Health Agency","Operational Delivery","Outside London","320","315","24440","24370"
"In post","2021","20-29","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Science and Engineering","Outside London","95","95","26460","24370"
"In post","2021","20-29","Animal and Plant Health Agency","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Veterinarian","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Other","London","15","15","41180","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","London","2490","2485","35430","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","Outside London","510","510","28420","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","Unknown","370","370","31530","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
