"Status","Year","Age","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Office for Budget Responsibility","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","AA/AO","25","20","20190","19630"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","AA/AO","40","40","21060","21150"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","AA/AO","10","10","20240","20810"
"In post","2021","16-19","Social Security Scotland","Scottish Government","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Unknown","15","15","16840","16780"
"In post","2021","16-19","The National Archives","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","10","10","19010","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","EO","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","AA/AO","10","10","21400","20880"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","EO","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","20830","19790"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","75","70","24530","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","30","30","34320","30950"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","200","195","22130","21050"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","190","185","26330","25100"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","65","65","32550","32560"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","180","180","22270","20920"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","EO","455","455","27120","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","435","430","56050","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","25","25","66140","63750"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","2305","2305","31770","32000"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","25","25","20310","21050"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","30","30","24920","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","30500","29270"
"In post","2021","20-29","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","EO","25","25","24370","24440"
"In post","2021","20-29","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","SEO/HEO","15","15","31970","29160"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","55","55","20210","19850"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","EO","50","50","27990","24500"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","25","35200","34170"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","AA/AO","20","20","23130","22860"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","EO","25","25","28100","27920"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","G6/G7","40","40","57210","55430"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","60","60","35580","34570"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","EO","10","10","22570","22570"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","EO","40","40","22690","22230"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","80","80","30670","27980"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","205","190","21610","21490"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","EO","95","95","26030","25410"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","95","95","36320","33550"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","AA/AO","430","420","21630","21950"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","EO","255","255","26440","26450"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","G6/G7","70","70","50150","50520"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","135","135","36280","38000"
"In post","2021","20-29","Debt Management Office","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","20","20","18750","18730"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","EO","1050","1040","22500","21470"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","SEO/HEO","995","990","30970","30420"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","75","75","18440","17710"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","EO","85","85","22600","22780"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","20","20","43870","46080"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","725","725","30500","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","30","30","23900","24900"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","180","180","27790","27680"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","480","480","55600","53600"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","1135","1130","36690","34090"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","105","100","27510","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","190","190","56480","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","375","375","37040","34020"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","AA/AO","20","20","22140","21000"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","EO","310","305","26930","26000"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","G6/G7","210","210","53740","53420"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","SEO/HEO","710","705","35160","33690"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","40","35","22130","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","165","160","26580","25190"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","145","145","52850","52290"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","770","765","33790","32680"
"In post","2021","20-29","Department for International Trade","Department for International Trade","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Department for International Trade","EO","120","120","26590","26510"
"In post","2021","20-29","Department for International Trade","Department for International Trade","G6/G7","230","230","51520","51970"
"In post","2021","20-29","Department for International Trade","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Department for International Trade","SEO/HEO","585","585","34060","32120"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","AA/AO","20","20","23560","25730"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","EO","175","175","28540","29970"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","G6/G7","175","175","55240","54650"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","550","550","36350","35060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","3600","3495","21440","21010"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","5925","5845","28450","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","90","85","54840","54070"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","685","680","34570","34290"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","15","15","21470","22920"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","245","245","26520","27270"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","280","280","55000","53360"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","690","690","34020","32790"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","AA/AO","55","50","21020","21150"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","EO","5","5","[c]","[c]"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","615","575","20680","21590"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","EO","105","105","26420","26350"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","65","65","34880","31040"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","140","140","23550","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","EO","95","90","26810","26350"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","40","40","34880","31860"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","AA/AO","10","10","21310","21000"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","EO","70","70","25760","25000"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","G6/G7","25","25","51910","50270"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","SEO/HEO","190","190","33380","33000"
"In post","2021","20-29","Education Scotland","Scottish Government","AA/AO","10","5","[c]","[c]"
"In post","2021","20-29","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Education Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","AA/AO","20","20","22810","22440"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","EO","60","60","27330","26650"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","25","25","36660","34770"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","30","30","23480","21600"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","EO","25","20","25880","26750"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","SEO/HEO","80","80","34320","32830"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","EO","10","10","[c]","[c]"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","SEO/HEO","15","15","32530","32140"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","160","160","25710","24750"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","205","205","28910","29300"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","145","145","51100","53000"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","835","835","36040","35700"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","AA/AO","70","65","23040","22920"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","EO","25","25","29260","29140"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","AA/AO","10","10","22860","21980"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","EO","10","10","28500","28230"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","SEO/HEO","30","30","40370","37830"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","SEO/HEO","15","15","35310","33760"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","AA/AO","15","15","23600","23670"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","EO","155","155","28740","27350"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","G6/G7","75","75","51390","51250"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","SEO/HEO","90","90","40040","43920"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","EO","10","10","[c]","[c]"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","SEO/HEO","15","15","36230","37300"
