"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Outside London","30","30","30040","29270"
"In post","2021","Declared disabled","Analysis","Department for International Trade","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs","Outside London","35","30","41540","38630"
"In post","2021","Declared disabled","Analysis","HM Treasury","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","Outside London","65","60","38010","37320"
"In post","2021","Declared disabled","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Justice","London","30","30","42560","40480"
"In post","2021","Declared disabled","Analysis","Ministry of Justice","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","Outside London","130","125","36830","36250"
"In post","2021","Declared disabled","Analysis","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Education","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Transport","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Department of Health and Social Care","London","5","5","[c]","[c]"
