"Status","Year","Age","Disability","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Female","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Male","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Female","55","55","25460","25110"
"In post","2021","16-19","Declared non-disabled","London","Male","40","40","25550","25170"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Female","25","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Male","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North West (England)","Female","50","45","20960","21010"
"In post","2021","16-19","Declared non-disabled","North West (England)","Male","30","30","21280","21010"
"In post","2021","16-19","Declared non-disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","Female","[c]","[c]","[c]","[c]"
