"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","10","10","27880","27850"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","15","15","35530","36000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","20","15","42840","43000"
"In post","2021","Analysis","Bedford","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","HEO","15","15","38020","34530"
"In post","2021","Analysis","Birmingham","SEO/HEO","SEO","10","10","45980","39660"
"In post","2021","Analysis","Bradford","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","EO","25","25","26090","25880"
"In post","2021","Analysis","Bristol, City of","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","G7","25","25","56350","59810"
"In post","2021","Analysis","Bristol, City of","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","HEO","55","50","32120","32010"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","SEO","45","40","40600","39850"
