"Status","Year","Parent_department","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","25","25","54450","53830"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","AA/AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","G6/G7","60","55","59990","62120"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","SEO/HEO","20","20","37290","38000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","AA/AO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","AA/AO","110","100","21760","21950"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","EO","95","85","27130","28430"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","G6/G7","205","190","55630","55610"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","SEO/HEO","75","70","35040","34480"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","AA/AO","20","20","22910","23520"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","EO","25","25","28470","27760"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","G6/G7","45","45","59980","62120"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","SEO/HEO","15","10","36450","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","AA/AO","25","25","21760","21950"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","EO","35","35","26760","26220"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","G6/G7","70","65","55790","55610"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","SCS level","5","5","[c]","[c]"
