"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","North East (England)","Tyneside","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tyneside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","East Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester South West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","Heterosexual / straight","55","55","41170","38630"
"In post","2021","Analysis","North West (England)","Liverpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","Liverpool","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","North West (England)","Manchester","Heterosexual / straight","135","130","39120","38630"
"In post","2021","Analysis","North West (England)","Manchester","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","North West (England)","Manchester","Undeclared","20","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","Manchester","Unknown","45","45","34430","31810"
"In post","2021","Analysis","North West (England)","Mid Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Mid Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Sefton","Heterosexual / straight","25","20","[c]","[c]"
