"Status","Year","Age","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","Heterosexual / straight","100","95","25560","25170"
"In post","2021","16-19","London","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","London","Unknown","40","40","24130","24120"
"In post","2021","16-19","Outside London","Heterosexual / straight","615","600","21080","21010"
"In post","2021","16-19","Outside London","LGBO","45","45","21040","21010"
"In post","2021","16-19","Outside London","Undeclared","45","45","21970","21010"
"In post","2021","16-19","Outside London","Unknown","425","405","20250","20140"
"In post","2021","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","18910","15940"
"In post","2021","20-29","London","Heterosexual / straight","13730","13645","35930","33510"
"In post","2021","20-29","London","LGBO","1770","1760","37660","34550"
"In post","2021","20-29","London","Undeclared","1395","1380","36650","33880"
"In post","2021","20-29","London","Unknown","6105","6080","34880","32120"
"In post","2021","20-29","Outside London","Heterosexual / straight","33030","32415","26360","25560"
"In post","2021","20-29","Outside London","LGBO","3600","3555","26150","25560"
"In post","2021","20-29","Outside London","Undeclared","2510","2460","26580","25560"
"In post","2021","20-29","Outside London","Unknown","14075","13800","25280","24440"
"In post","2021","20-29","Overseas","Heterosexual / straight","180","180","36290","33860"
"In post","2021","20-29","Overseas","LGBO","30","30","[c]","[c]"
"In post","2021","20-29","Overseas","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","85","85","38990","38600"
"In post","2021","20-29","Unknown","Heterosexual / straight","155","155","30220","27570"
"In post","2021","20-29","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","705","700","29800","29250"
"In post","2021","30-39","London","Heterosexual / straight","16375","15825","45390","41950"
"In post","2021","30-39","London","LGBO","1405","1390","47740","46430"
"In post","2021","30-39","London","Undeclared","1785","1735","46100","43360"
"In post","2021","30-39","London","Unknown","4755","4620","46070","41950"
"In post","2021","30-39","Outside London","Heterosexual / straight","51750","48660","30840","27570"
"In post","2021","30-39","Outside London","LGBO","3830","3745","30700","27570"
"In post","2021","30-39","Outside London","Undeclared","5270","4965","30740","27570"
"In post","2021","30-39","Outside London","Unknown","16400","15300","29670","27570"
"In post","2021","30-39","Overseas","Heterosexual / straight","690","690","46250","49370"
"In post","2021","30-39","Overseas","LGBO","75","75","49140","52430"
"In post","2021","30-39","Overseas","Undeclared","80","80","45470","41800"
"In post","2021","30-39","Overseas","Unknown","220","220","49600","52150"
"In post","2021","30-39","Unknown","Heterosexual / straight","190","185","34330","27570"
"In post","2021","30-39","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","30-39","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","540","540","37610","33250"
"In post","2021","40-49","London","Heterosexual / straight","15050","14310","48250","42470"
"In post","2021","40-49","London","LGBO","960","940","51960","52850"
"In post","2021","40-49","London","Undeclared","2010","1915","46150","41760"
"In post","2021","40-49","London","Unknown","4280","4015","48980","42330"
"In post","2021","40-49","Outside London","Heterosexual / straight","58990","55120","33470","29040"
"In post","2021","40-49","Outside London","LGBO","2830","2735","33260","28400"
"In post","2021","40-49","Outside London","Undeclared","8155","7620","32360","28130"
"In post","2021","40-49","Outside London","Unknown","18115","16550","31720","27570"
"In post","2021","40-49","Overseas","Heterosexual / straight","795","790","52090","54470"
"In post","2021","40-49","Overseas","LGBO","45","45","61090","63200"
"In post","2021","40-49","Overseas","Undeclared","100","100","45160","40080"
"In post","2021","40-49","Overseas","Unknown","235","235","53360","52430"
"In post","2021","40-49","Unknown","Heterosexual / straight","225","215","33670","27570"
"In post","2021","40-49","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","40-49","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","475","470","39880","34460"
"In post","2021","50-59","London","Heterosexual / straight","15955","15395","44850","37910"
"In post","2021","50-59","London","LGBO","775","750","48540","42470"
"In post","2021","50-59","London","Undeclared","2830","2720","42880","36800"
"In post","2021","50-59","London","Unknown","4665","4475","44760","36240"
"In post","2021","50-59","Outside London","Heterosexual / straight","76200","71305","32850","27570"
"In post","2021","50-59","Outside London","LGBO","2530","2425","32550","27570"
"In post","2021","50-59","Outside London","Undeclared","12990","12060","32010","27570"
"In post","2021","50-59","Outside London","Unknown","23115","21060","31330","27570"
"In post","2021","50-59","Overseas","Heterosexual / straight","670","665","53410","50990"
"In post","2021","50-59","Overseas","LGBO","20","20","[c]","[c]"
"In post","2021","50-59","Overseas","Undeclared","150","150","51130","52400"
