"Status","Year","Organisation","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","East Ayrshire and North Ayrshire mainland","Outside London","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Westminster","London","15","10","42000","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Tyneside","Outside London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Westminster","London","45","45","47270","47050"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Westminster","London","10","10","41970","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Westminster","London","15","15","40770","40090"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Birmingham","Outside London","85","75","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Bristol, City of","Outside London","50","45","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Cardiff and Vale of Glamorgan","Outside London","90","85","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Glasgow City","Outside London","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Leeds","Outside London","65","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Manchester","Outside London","135","125","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North Hampshire","Outside London","30","25","34740","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Nottingham","Outside London","90","85","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Suffolk","Outside London","40","35","34290","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Tyneside","Outside London","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Westminster","London","95","95","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Westminster","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Westminster","London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Worcestershire","Outside London","15","15","31630","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Aberdeen City and Aberdeenshire","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Bristol, City of","Outside London","25","25","26130","22360"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Caithness and Sutherland and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cambridgeshire CC","Outside London","25","20","30650","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cardiff and Vale of Glamorgan","Outside London","75","75","25110","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Central Hampshire","Outside London","20","20","28420","25560"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cheshire East","Outside London","25","20","29860","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cornwall and Isles of Scilly","Outside London","35","35","25330","25010"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Devon CC","Outside London","150","140","24580","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Dorset CC","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Cumbria","Outside London","120","110","23220","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Kent","Outside London","35","35","27400","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Riding of Yorkshire","Outside London","15","15","30160","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Gloucestershire","Outside London","25","20","27090","25320"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Gwynedd","Outside London","55","50","24170","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Harrow and Hillingdon","London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Heart of Essex","Outside London","35","35","29500","28030"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Hertfordshire","Outside London","10","10","31030","28030"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Hounslow and Richmond upon Thames","London","65","65","32160","31460"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","15","15","24500","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Leicestershire CC and Rutland","Outside London","10","10","26270","25540"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lincolnshire","Outside London","20","15","31650","29950"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Manchester","Outside London","15","15","28500","28030"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Mid Lancashire","Outside London","60","55","27560","25210"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North and West Norfolk","Outside London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Yorkshire CC","Outside London","75","70","29260","26190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Norwich and East Norfolk","Outside London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Nottingham","Outside London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Perth and Kinross and Stirling","Outside London","25","25","29190","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Powys","Outside London","15","10","32600","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scottish Borders","Outside London","15","15","25050","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Shropshire CC","Outside London","20","20","27330","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Somerset","Outside London","20","15","28560","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South Ayrshire","Outside London","15","10","24280","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West Wales","Outside London","100","95","24440","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Staffordshire CC","Outside London","55","50","23550","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Suffolk","Outside London","25","25","26710","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Thurrock","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Tyneside","Outside London","15","15","32960","28370"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Surrey","Outside London","75","70","30460","24370"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Sussex (North East)","Outside London","20","20","30360","29570"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Westminster","London","10","10","38400","31530"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wiltshire","Outside London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Worcestershire","Outside London","105","100","26990","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","York","Outside London","60","60","23810","21050"
"In post","2021","Animal and Plant Health Agency","Other","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","West Surrey","Outside London","10","10","39030","36850"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Worcestershire","Outside London","25","20","33070","30860"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Devon CC","Outside London","30","30","26360","22170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Cumbria","Outside London","20","20","24090","21050"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Lothian and Midlothian","Outside London","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Gloucestershire","Outside London","20","15","31620","27170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
