"Status","Year","Age","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Lancashire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Leicestershire, Rutland and Northamptonshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northumberland and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Yorkshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Wales","EO","[c]","[c]","[c]","[c]"
