"Status","Year","Ethnicity","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","London","EO","35","35","28720","28600"
"In post","2021","Asian","Analysis","London","G6/G7","120","110","60080","59160"
"In post","2021","Asian","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","SEO/HEO","150","150","38340","37660"
"In post","2021","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","SEO/HEO","65","65","33970","32010"
"In post","2021","Asian","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","London","EO","30","30","29140","29410"
"In post","2021","Asian","Commercial","London","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Commercial","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","SEO/HEO","65","65","39720","39440"
"In post","2021","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","EO","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","SEO/HEO","75","75","37010","36870"
"In post","2021","Asian","Commercial","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
