"Status","Year","Region_ITL1","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Central Bedfordshire","Outside London","Unknown","30","30","27640","26720"
"In post","2021","East of England","Essex Haven Gateway","Outside London","Heterosexual / straight","830","785","32330","29290"
"In post","2021","East of England","Essex Haven Gateway","Outside London","LGBO","35","35","33490","29290"
"In post","2021","East of England","Essex Haven Gateway","Outside London","Undeclared","135","130","33330","31070"
"In post","2021","East of England","Essex Haven Gateway","Outside London","Unknown","135","125","30920","29290"
"In post","2021","East of England","Essex Thames Gateway","Outside London","Heterosexual / straight","625","560","28060","29290"
"In post","2021","East of England","Essex Thames Gateway","Outside London","LGBO","35","35","26610","25110"
"In post","2021","East of England","Essex Thames Gateway","Outside London","Undeclared","70","60","26310","25110"
"In post","2021","East of England","Essex Thames Gateway","Outside London","Unknown","205","180","27080","25110"
"In post","2021","East of England","Heart of Essex","Outside London","Heterosexual / straight","765","725","32020","29290"
"In post","2021","East of England","Heart of Essex","Outside London","LGBO","50","50","33010","29810"
"In post","2021","East of England","Heart of Essex","Outside London","Undeclared","90","80","30900","29290"
"In post","2021","East of England","Heart of Essex","Outside London","Unknown","210","195","32100","29060"
"In post","2021","East of England","Hertfordshire","Outside London","Heterosexual / straight","1895","1795","34800","30880"
"In post","2021","East of England","Hertfordshire","Outside London","LGBO","95","90","33500","30750"
"In post","2021","East of England","Hertfordshire","Outside London","Undeclared","230","215","34900","31810"
"In post","2021","East of England","Hertfordshire","Outside London","Unknown","500","460","34900","31810"
"In post","2021","East of England","Luton","Outside London","Heterosexual / straight","410","360","26310","26790"
"In post","2021","East of England","Luton","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","East of England","Luton","Outside London","Undeclared","50","40","28210","27570"
"In post","2021","East of England","Luton","Outside London","Unknown","75","70","25040","25730"
"In post","2021","East of England","North and West Norfolk","Outside London","Heterosexual / straight","725","675","27750","27150"
"In post","2021","East of England","North and West Norfolk","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","Outside London","Undeclared","70","65","31100","31650"
"In post","2021","East of England","North and West Norfolk","Outside London","Unknown","105","95","27990","27570"
"In post","2021","East of England","Norwich and East Norfolk","Outside London","Heterosexual / straight","1220","1120","29310","27570"
"In post","2021","East of England","Norwich and East Norfolk","Outside London","LGBO","65","60","28400","26300"
"In post","2021","East of England","Norwich and East Norfolk","Outside London","Undeclared","175","160","30080","27570"
"In post","2021","East of England","Norwich and East Norfolk","Outside London","Unknown","330","285","30490","27570"
"In post","2021","East of England","Peterborough","Outside London","Heterosexual / straight","1240","1120","28230","25310"
"In post","2021","East of England","Peterborough","Outside London","LGBO","45","40","27410","24880"
"In post","2021","East of England","Peterborough","Outside London","Undeclared","195","175","28350","27030"
"In post","2021","East of England","Peterborough","Outside London","Unknown","185","165","27860","26700"
"In post","2021","East of England","Southend-on-Sea","Outside London","Heterosexual / straight","740","670","32680","31080"
"In post","2021","East of England","Southend-on-Sea","Outside London","LGBO","45","45","29630","29290"
"In post","2021","East of England","Southend-on-Sea","Outside London","Undeclared","135","120","32290","31810"
"In post","2021","East of England","Southend-on-Sea","Outside London","Unknown","420","375","31260","29290"
"In post","2021","East of England","Suffolk","Outside London","Heterosexual / straight","2690","2525","28540","27570"
"In post","2021","East of England","Suffolk","Outside London","LGBO","120","115","27690","27570"
"In post","2021","East of England","Suffolk","Outside London","Undeclared","385","365","28190","27570"
"In post","2021","East of England","Suffolk","Outside London","Unknown","970","900","29490","27570"
"In post","2021","East of England","Thurrock","Outside London","Heterosexual / straight","255","240","26510","25310"
"In post","2021","East of England","Thurrock","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","East of England","Thurrock","Outside London","Undeclared","50","45","27220","27110"
"In post","2021","East of England","Thurrock","Outside London","Unknown","45","45","24740","21430"
"In post","2021","East of England","West Essex","Outside London","Heterosexual / straight","555","490","30200","28590"
"In post","2021","East of England","West Essex","Outside London","LGBO","20","15","[c]","[c]"
"In post","2021","East of England","West Essex","Outside London","Undeclared","75","65","29030","27370"
"In post","2021","East of England","West Essex","Outside London","Unknown","55","50","34830","29290"
"In post","2021","London","Barking & Dagenham and Havering","London","Heterosexual / straight","400","370","30520","31060"
"In post","2021","London","Barking & Dagenham and Havering","London","LGBO","15","10","[c]","[c]"
"In post","2021","London","Barking & Dagenham and Havering","London","Undeclared","50","45","29640","30780"
"In post","2021","London","Barking & Dagenham and Havering","London","Unknown","135","125","30390","31060"
"In post","2021","London","Barnet","London","Heterosexual / straight","1135","1075","37760","32330"
"In post","2021","London","Barnet","London","LGBO","65","65","41100","32650"
"In post","2021","London","Barnet","London","Undeclared","145","135","41620","33230"
"In post","2021","London","Barnet","London","Unknown","335","310","46130","40070"
"In post","2021","London","Bexley and Greenwich","London","Heterosexual / straight","1140","1095","32020","31060"
"In post","2021","London","Bexley and Greenwich","London","LGBO","65","60","32510","31590"
"In post","2021","London","Bexley and Greenwich","London","Undeclared","150","140","32750","31590"
"In post","2021","London","Bexley and Greenwich","London","Unknown","410","390","30800","31060"
"In post","2021","London","Brent","London","Heterosexual / straight","370","345","31350","31060"
"In post","2021","London","Brent","London","LGBO","15","15","[c]","[c]"
"In post","2021","London","Brent","London","Undeclared","80","75","32520","31060"
"In post","2021","London","Brent","London","Unknown","145","130","31210","30330"
"In post","2021","London","Bromley","London","Heterosexual / straight","315","285","29270","31060"
"In post","2021","London","Bromley","London","LGBO","10","10","[c]","[c]"
"In post","2021","London","Bromley","London","Undeclared","45","45","30480","31060"
"In post","2021","London","Bromley","London","Unknown","90","80","29210","31060"
"In post","2021","London","Camden and City of London","London","Heterosexual / straight","2165","2080","38020","32510"
"In post","2021","London","Camden and City of London","London","LGBO","125","120","38960","36160"
"In post","2021","London","Camden and City of London","London","Undeclared","410","390","38220","35200"
"In post","2021","London","Camden and City of London","London","Unknown","935","895","38770","32520"
"In post","2021","London","Croydon","London","Heterosexual / straight","6860","6505","38670","35070"
"In post","2021","London","Croydon","London","LGBO","260","255","40690","36160"
"In post","2021","London","Croydon","London","Undeclared","1060","995","38250","35070"
"In post","2021","London","Croydon","London","Unknown","1445","1385","36490","32520"
"In post","2021","London","Ealing","London","Heterosexual / straight","325","310","31410","31060"
"In post","2021","London","Ealing","London","LGBO","20","15","[c]","[c]"
"In post","2021","London","Ealing","London","Undeclared","40","40","31970","31060"
"In post","2021","London","Ealing","London","Unknown","130","120","30760","31060"
"In post","2021","London","Enfield","London","Heterosexual / straight","220","210","30300","31060"
"In post","2021","London","Enfield","London","LGBO","10","10","[c]","[c]"
"In post","2021","London","Enfield","London","Undeclared","40","40","29580","30780"
"In post","2021","London","Enfield","London","Unknown","85","80","29920","31060"
"In post","2021","London","Hackney and Newham","London","Heterosexual / straight","1780","1655","35280","31060"
"In post","2021","London","Hackney and Newham","London","LGBO","105","100","35530","31060"
"In post","2021","London","Hackney and Newham","London","Undeclared","275","255","34760","31060"
"In post","2021","London","Hackney and Newham","London","Unknown","890","815","33080","31060"
"In post","2021","London","Haringey and Islington","London","Heterosexual / straight","875","840","31810","31060"
"In post","2021","London","Haringey and Islington","London","LGBO","65","65","32780","31060"
"In post","2021","London","Haringey and Islington","London","Undeclared","115","110","30690","31060"
"In post","2021","London","Haringey and Islington","London","Unknown","450","425","29610","31060"
"In post","2021","London","Harrow and Hillingdon","London","Heterosexual / straight","2540","2300","30990","29080"
"In post","2021","London","Harrow and Hillingdon","London","LGBO","60","55","29660","29080"
"In post","2021","London","Harrow and Hillingdon","London","Undeclared","475","420","32600","30410"
"In post","2021","London","Harrow and Hillingdon","London","Unknown","325","305","30820","29570"
"In post","2021","London","Hounslow and Richmond upon Thames","London","Heterosexual / straight","1865","1770","32390","31060"
"In post","2021","London","Hounslow and Richmond upon Thames","London","LGBO","125","120","32810","31460"
"In post","2021","London","Hounslow and Richmond upon Thames","London","Undeclared","285","270","33080","31060"
"In post","2021","London","Hounslow and Richmond upon Thames","London","Unknown","580","545","33100","31060"
"In post","2021","London","Kensington & Chelsea and Hammersmith & Fulham","London","Heterosexual / straight","555","540","32620","31060"
"In post","2021","London","Kensington & Chelsea and Hammersmith & Fulham","London","LGBO","35","35","34620","32680"
"In post","2021","London","Kensington & Chelsea and Hammersmith & Fulham","London","Undeclared","55","50","34190","31880"
"In post","2021","London","Kensington & Chelsea and Hammersmith & Fulham","London","Unknown","205","190","32000","31060"
"In post","2021","London","Lambeth","London","Heterosexual / straight","3000","2845","43460","39840"
"In post","2021","London","Lambeth","London","LGBO","225","215","40890","36200"
"In post","2021","London","Lambeth","London","Undeclared","415","385","42570","37480"
"In post","2021","London","Lambeth","London","Unknown","740","700","45860","40010"
"In post","2021","London","Lewisham and Southwark","London","Heterosexual / straight","960","925","33120","31060"
"In post","2021","London","Lewisham and Southwark","London","LGBO","70","70","32370","31060"
"In post","2021","London","Lewisham and Southwark","London","Undeclared","135","130","35390","31060"
"In post","2021","London","Lewisham and Southwark","London","Unknown","220","200","36500","31880"
"In post","2021","London","Merton, Kingston upon Thames and Sutton","London","Heterosexual / straight","455","430","31650","31060"
"In post","2021","London","Merton, Kingston upon Thames and Sutton","London","LGBO","25","25","[c]","[c]"
"In post","2021","London","Merton, Kingston upon Thames and Sutton","London","Undeclared","55","55","32800","31060"
"In post","2021","London","Merton, Kingston upon Thames and Sutton","London","Unknown","125","115","28930","30700"
"In post","2021","London","Redbridge and Waltham Forest","London","Heterosexual / straight","635","590","29400","31060"
"In post","2021","London","Redbridge and Waltham Forest","London","LGBO","30","30","30130","31060"
"In post","2021","London","Redbridge and Waltham Forest","London","Undeclared","95","80","28180","30200"
"In post","2021","London","Redbridge and Waltham Forest","London","Unknown","305","270","28280","30220"
"In post","2021","London","Tower Hamlets","London","Heterosexual / straight","4260","4125","48400","42260"
"In post","2021","London","Tower Hamlets","London","LGBO","325","320","49430","47180"
"In post","2021","London","Tower Hamlets","London","Undeclared","575","555","49470","46950"
"In post","2021","London","Tower Hamlets","London","Unknown","1720","1650","47730","41760"
"In post","2021","London","Wandsworth","London","Heterosexual / straight","565","545","33010","33260"
"In post","2021","London","Wandsworth","London","LGBO","45","45","33500","33260"
"In post","2021","London","Wandsworth","London","Undeclared","65","60","32820","31060"
"In post","2021","London","Wandsworth","London","Unknown","280","265","29730","30220"
"In post","2021","London","Westminster","London","Heterosexual / straight","35890","34905","48500","44480"
"In post","2021","London","Westminster","London","LGBO","3410","3365","47770","44030"
"In post","2021","London","Westminster","London","Undeclared","4460","4350","48170","44910"
"In post","2021","London","Westminster","London","Unknown","11940","11650","46830","40650"
"In post","2021","North East (England)","Darlington","Outside London","Heterosexual / straight","775","735","35640","31990"
"In post","2021","North East (England)","Darlington","Outside London","LGBO","35","35","35590","35000"
"In post","2021","North East (England)","Darlington","Outside London","Undeclared","60","55","36110","30800"
"In post","2021","North East (England)","Darlington","Outside London","Unknown","105","100","35710","30200"
"In post","2021","North East (England)","Durham CC","Outside London","Heterosexual / straight","3760","3375","27140","25310"
"In post","2021","North East (England)","Durham CC","Outside London","LGBO","170","165","27810","25310"
"In post","2021","North East (England)","Durham CC","Outside London","Undeclared","425","380","28130","26330"
"In post","2021","North East (England)","Durham CC","Outside London","Unknown","1240","1110","26180","24500"
"In post","2021","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","Heterosexual / straight","1050","965","27410","27570"
"In post","2021","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","LGBO","60","55","26850","27570"
"In post","2021","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","Undeclared","120","110","28580","27570"
"In post","2021","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","Unknown","315","280","26250","26300"
"In post","2021","North East (England)","Northumberland","Outside London","Heterosexual / straight","295","265","28420","27570"
"In post","2021","North East (England)","Northumberland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","North East (England)","Northumberland","Outside London","Undeclared","45","40","28730","27570"
"In post","2021","North East (England)","Northumberland","Outside London","Unknown","45","40","27310","27570"
"In post","2021","North East (England)","South Teesside","Outside London","Heterosexual / straight","765","690","26540","25240"
"In post","2021","North East (England)","South Teesside","Outside London","LGBO","30","30","25950","21010"
"In post","2021","North East (England)","South Teesside","Outside London","Undeclared","105","95","26170","25810"
"In post","2021","North East (England)","South Teesside","Outside London","Unknown","225","195","26140","26120"
"In post","2021","North East (England)","Sunderland","Outside London","Heterosexual / straight","2900","2460","25620","21440"
"In post","2021","North East (England)","Sunderland","Outside London","LGBO","95","90","24650","21420"
"In post","2021","North East (England)","Sunderland","Outside London","Undeclared","330","270","24710","21440"
"In post","2021","North East (England)","Sunderland","Outside London","Unknown","1105","935","23790","21400"
"In post","2021","North East (England)","Tyneside","Outside London","Heterosexual / straight","10085","9245","30130","27370"
"In post","2021","North East (England)","Tyneside","Outside London","LGBO","595","570","28880","25560"
"In post","2021","North East (England)","Tyneside","Outside London","Undeclared","1070","980","29990","26780"
"In post","2021","North East (England)","Tyneside","Outside London","Unknown","4795","4230","26980","21440"
"In post","2021","North West (England)","Blackburn with Darwen","Outside London","Heterosexual / straight","345","310","27080","27570"
"In post","2021","North West (England)","Blackburn with Darwen","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","North West (England)","Blackburn with Darwen","Outside London","Undeclared","30","30","27220","27570"
"In post","2021","North West (England)","Blackburn with Darwen","Outside London","Unknown","110","95","25590","27570"
"In post","2021","North West (England)","Blackpool","Outside London","Heterosexual / straight","3280","3010","29170","27570"
"In post","2021","North West (England)","Blackpool","Outside London","LGBO","185","180","26770","27570"
"In post","2021","North West (England)","Blackpool","Outside London","Undeclared","375","340","29340","27570"
"In post","2021","North West (England)","Blackpool","Outside London","Unknown","1300","1170","29000","27570"
