"Status","Year","Disability","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Heterosexual / straight","1995","1820","28500","27570"
"In post","2021","Declared disabled","East Midlands (England)","LGBO","190","185","29060","27570"
"In post","2021","Declared disabled","East Midlands (England)","Undeclared","320","290","28720","27570"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","175","155","26830","27380"
"In post","2021","Declared disabled","East of England","Heterosexual / straight","1975","1810","30040","27570"
"In post","2021","Declared disabled","East of England","LGBO","170","160","28370","27570"
"In post","2021","Declared disabled","East of England","Undeclared","260","240","30700","28380"
"In post","2021","Declared disabled","East of England","Unknown","175","150","28390","27570"
"In post","2021","Declared disabled","London","Heterosexual / straight","6635","6305","40630","35070"
"In post","2021","Declared disabled","London","LGBO","975","950","42440","36650"
"In post","2021","Declared disabled","London","Undeclared","985","935","39220","33950"
"In post","2021","Declared disabled","London","Unknown","610","560","38460","31970"
"In post","2021","Declared disabled","North East (England)","Heterosexual / straight","2620","2310","27160","25560"
"In post","2021","Declared disabled","North East (England)","LGBO","195","180","27130","25560"
"In post","2021","Declared disabled","North East (England)","Undeclared","280","245","26960","23840"
"In post","2021","Declared disabled","North East (England)","Unknown","325","270","25380","21440"
"In post","2021","Declared disabled","North West (England)","Heterosexual / straight","5210","4690","28500","27570"
"In post","2021","Declared disabled","North West (England)","LGBO","475","450","28410","27570"
"In post","2021","Declared disabled","North West (England)","Undeclared","685","615","27770","26780"
"In post","2021","Declared disabled","North West (England)","Unknown","635","545","26630","25560"
"In post","2021","Declared disabled","Northern Ireland","Heterosexual / straight","255","235","27290","25560"
"In post","2021","Declared disabled","Northern Ireland","LGBO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Heterosexual / straight","160","160","48570","45490"
"In post","2021","Declared disabled","Overseas","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Heterosexual / straight","3135","2845","30410","27570"
