"Status","Year","Disability","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","London","225","210","60400","62590"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","Outside London","250","230","54480","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","London","80","70","31420","29620"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","Outside London","250","230","27160","25480"
"In post","2021","Declared disabled","Attorney General's Departments","Other","London","35","35","30880","27580"
"In post","2021","Declared disabled","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","London","[c]","[c]","[c]","[c]"
