"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","55","55","37970","37320"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education (excl. agencies)","Department for Education","35","30","41830","41990"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport (excl. agencies)","Department for Transport","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Department for Transport","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Government Actuary's Department","Chancellor's other departments","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","60","55","43330","38630"
"In post","2021","Declared disabled","Analysis","HM Treasury (excl. agencies)","HM Treasury","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","40","40","40870","40480"
"In post","2021","Declared disabled","Analysis","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","150","140","36730","36030"
"In post","2021","Declared disabled","Analysis","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
