"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Female","55","45","26280","26570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Male","25","25","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Female","215","195","32980","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Male","125","120","34550","31810"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Female","65","55","24820","24550"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Male","50","45","26010","27290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","200","180","29910","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","100","95","31220","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Female","50","45","29680","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Male","40","40","32270","28260"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","55","50","28170","27260"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","65","65","30980","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Female","45","40","34370","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Male","45","40","31580","27710"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire East","Female","[c]","[c]","[c]","[c]"
