"Status","Year","Organisation","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Southern Scotland","Outside London","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Outside London","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Inner London - West","London","200","195","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland and Tyne and Wear","Outside London","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Outside London","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Outside London","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Outside London","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Outside London","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Outside London","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Outside London","70","65","31800","30950"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","40","35","31900","29180"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","20","20","30690","26520"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Outside London","25","20","35450","32160"
