"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA/AO","AO","40","35","21160","21010"
"In post","2021","16-19","Asian","EO","EO","20","20","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Black","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","16-19","Mixed","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","AA","75","65","19050","19060"
"In post","2021","16-19","Unknown","AA/AO","AO","290","280","21010","20140"
"In post","2021","16-19","Unknown","EO","EO","85","85","21380","20900"
"In post","2021","16-19","Unknown","Unknown","Unknown","50","50","18300","16780"
"In post","2021","16-19","White","AA/AO","AA","130","125","19360","20060"
"In post","2021","16-19","White","AA/AO","AO","375","365","21350","21010"
"In post","2021","16-19","White","EO","EO","180","180","23170","24300"
"In post","2021","16-19","White","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","16-19","White","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Asian","AA/AO","AA","80","75","20610","20600"
"In post","2021","20-29","Asian","AA/AO","AO","1540","1465","21840","21010"
"In post","2021","20-29","Asian","EO","EO","2210","2180","27900","27570"
"In post","2021","20-29","Asian","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","20-29","Asian","G6/G7","G7","255","255","54110","53380"
"In post","2021","20-29","Asian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","SEO/HEO","HEO","1145","1140","33250","32980"
"In post","2021","20-29","Asian","SEO/HEO","SEO","360","355","39960","40060"
"In post","2021","20-29","Asian","Unknown","Unknown","130","125","25430","23840"
"In post","2021","20-29","Black","AA/AO","AA","45","45","21900","21150"
"In post","2021","20-29","Black","AA/AO","AO","515","500","24220","23520"
"In post","2021","20-29","Black","EO","EO","840","830","28740","28950"
"In post","2021","20-29","Black","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","G6/G7","G7","70","70","53900","53380"
"In post","2021","20-29","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SEO/HEO","HEO","445","445","33590","33570"
"In post","2021","20-29","Black","SEO/HEO","SEO","135","135","40570","40230"
"In post","2021","20-29","Black","Unknown","Unknown","115","115","26910","26810"
"In post","2021","20-29","Chinese","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","AA/AO","AO","40","40","22120","21050"
"In post","2021","20-29","Chinese","EO","EO","60","60","27410","27240"
"In post","2021","20-29","Chinese","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","G6/G7","G7","30","30","54090","53370"
"In post","2021","20-29","Chinese","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SEO/HEO","HEO","65","65","33550","33570"
"In post","2021","20-29","Chinese","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","AA/AO","AA","35","30","20470","20600"
"In post","2021","20-29","Mixed","AA/AO","AO","545","530","23410","22150"
"In post","2021","20-29","Mixed","EO","EO","650","640","27840","27570"
"In post","2021","20-29","Mixed","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","20-29","Mixed","G6/G7","G7","145","145","53980","53420"
"In post","2021","20-29","Mixed","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SEO/HEO","HEO","530","525","33040","32810"
"In post","2021","20-29","Mixed","SEO/HEO","SEO","165","165","40190","40070"
"In post","2021","20-29","Mixed","Unknown","Unknown","75","70","26000","26740"
"In post","2021","20-29","Other ethnicity","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","20-29","Other ethnicity","AA/AO","AO","80","80","23890","23290"
"In post","2021","20-29","Other ethnicity","EO","EO","165","165","28250","28070"
"In post","2021","20-29","Other ethnicity","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","20-29","Other ethnicity","G6/G7","G7","30","30","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SEO/HEO","HEO","105","105","33770","33570"
"In post","2021","20-29","Other ethnicity","SEO/HEO","SEO","45","45","40650","40730"
"In post","2021","20-29","Other ethnicity","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","AA/AO","AA","30","30","19960","19560"
"In post","2021","20-29","Undeclared","AA/AO","AO","350","335","23220","21590"
"In post","2021","20-29","Undeclared","EO","EO","430","425","27410","27570"
"In post","2021","20-29","Undeclared","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","G6/G7","G7","105","105","54160","53380"
"In post","2021","20-29","Undeclared","SEO/HEO","HEO","340","340","32830","32550"
"In post","2021","20-29","Undeclared","SEO/HEO","SEO","165","165","39730","39350"
"In post","2021","20-29","Undeclared","Unknown","Unknown","45","45","27650","28680"
"In post","2021","20-29","Unknown","AA/AO","AA","915","885","20050","20600"
"In post","2021","20-29","Unknown","AA/AO","AO","7040","6860","22510","21010"
"In post","2021","20-29","Unknown","EO","EO","4405","4360","26790","26410"
"In post","2021","20-29","Unknown","G6/G7","G6","80","80","64530","64500"
"In post","2021","20-29","Unknown","G6/G7","G7","885","885","53810","53380"
"In post","2021","20-29","Unknown","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","HEO","4630","4620","31720","31810"
"In post","2021","20-29","Unknown","SEO/HEO","SEO","1050","1050","39780","40050"
"In post","2021","20-29","Unknown","Unknown","Unknown","720","710","26640","24020"
"In post","2021","20-29","White","AA/AO","AA","1690","1635","20010","20600"
"In post","2021","20-29","White","AA/AO","AO","13555","13225","22900","21430"
"In post","2021","20-29","White","EO","EO","12845","12710","26770","27130"
"In post","2021","20-29","White","G6/G7","G6","180","175","64490","64500"
