"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","185","160","21040","21010"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","EO","185","175","26370","26700"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","50","45","54900","52580"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","195","190","33650","31810"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","540","460","20600","20180"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","325","300","26880","27570"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","100","95","34880","33840"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","40","40","28840","28200"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","EO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","AA/AO","145","125","23530","22910"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","EO","235","215","28550","28550"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","SEO/HEO","115","110","38040","37640"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Unknown","30","25","[c]","[c]"
