"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Devon","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","East Wales","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","East Wales","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AO","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","East Wales","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","East Wales","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","LGBO","[c]","[c]","[c]","[c]"
