"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","AA/AO","AO","50","45","23760","24100"
"In post","2021","Commercial","London","EO","EO","105","100","29060","29740"
"In post","2021","Commercial","London","G6/G7","G6","85","85","72540","71080"
"In post","2021","Commercial","London","G6/G7","G7","150","145","58430","57050"
"In post","2021","Commercial","London","SCS level","SCS level","55","50","87030","79150"
"In post","2021","Commercial","London","SEO/HEO","HEO","135","135","35100","34710"
"In post","2021","Commercial","London","SEO/HEO","SEO","290","285","44340","43350"
"In post","2021","Commercial","London","Unknown","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Outside London","AA/AO","AA","30","25","21950","20810"
"In post","2021","Commercial","Outside London","AA/AO","AO","185","175","22280","21590"
"In post","2021","Commercial","Outside London","EO","EO","600","570","25410","26130"
"In post","2021","Commercial","Outside London","G6/G7","G6","210","205","68980","67150"
"In post","2021","Commercial","Outside London","G6/G7","G7","560","545","53150","51880"
"In post","2021","Commercial","Outside London","SCS level","SCS level","45","45","92450","91580"
"In post","2021","Commercial","Outside London","SEO/HEO","HEO","1140","1100","31790","32040"
"In post","2021","Commercial","Outside London","SEO/HEO","SEO","1445","1395","41100","40580"
"In post","2021","Commercial","Outside London","Unknown","Unknown","205","205","38240","35570"
"In post","2021","Commercial","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","HEO","10","10","37810","36460"
"In post","2021","Commercial","Overseas","SEO/HEO","SEO","10","10","47440","46410"
"In post","2021","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Communications","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","AO","65","60","24640","24900"
"In post","2021","Communications","London","EO","EO","235","235","28560","27850"
"In post","2021","Communications","London","G6/G7","G6","165","160","69190","69060"
"In post","2021","Communications","London","G6/G7","G7","480","465","55810","54870"
"In post","2021","Communications","London","SCS level","SCS level","100","100","88190","82220"
"In post","2021","Communications","London","SEO/HEO","HEO","520","510","36030","35730"
"In post","2021","Communications","London","SEO/HEO","SEO","525","515","43030","42870"
"In post","2021","Communications","Outside London","AA/AO","AA","10","10","19260","19560"
"In post","2021","Communications","Outside London","AA/AO","AO","160","150","21530","21410"
"In post","2021","Communications","Outside London","EO","EO","395","375","26800","26670"
"In post","2021","Communications","Outside London","G6/G7","G6","75","75","64660","64110"
"In post","2021","Communications","Outside London","G6/G7","G7","220","210","52340","52520"
"In post","2021","Communications","Outside London","SCS level","SCS level","15","15","78180","76000"
"In post","2021","Communications","Outside London","SEO/HEO","HEO","505","480","32820","33000"
"In post","2021","Communications","Outside London","SEO/HEO","SEO","470","450","39950","39520"
"In post","2021","Communications","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","EO","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","G6","10","10","66510","65040"
"In post","2021","Corporate Finance","London","G6/G7","G7","25","25","58170","56240"
"In post","2021","Corporate Finance","London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","SEO","15","15","45020","45740"
"In post","2021","Corporate Finance","Outside London","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","EO","10","10","24850","24920"
"In post","2021","Corporate Finance","Outside London","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","G7","25","25","50980","47140"
"In post","2021","Corporate Finance","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
