"Status","Year","Organisation","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","HEO","60","50","32820","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","SEO","10","10","41080","39840"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","HEO","40","35","32180","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","HEO","10","10","33530","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","SEO","10","10","40990","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","HEO","25","25","32280","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","HEO","40","35","32170","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","HEO","35","35","32370","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","SEO","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","HEO","30","30","32320","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","EO","25","20","25520","25320"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","HEO","10","10","30580","30480"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","EO","60","55","26110","25370"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","HEO","40","35","31190","31430"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","SEO","10","10","38770","36970"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","EO","55","55","30930","31460"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","HEO","15","15","34890","36410"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","AO","105","100","21070","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","EO","70","65","25690","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","HEO","30","25","30660","30400"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","AO","30","30","21050","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","EO","30","25","25760","25300"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","HEO","10","10","30290","29690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","AO","40","35","24280","24370"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","EO","75","75","26510","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","HEO","35","35","31720","31900"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","SEO","10","10","38030","37720"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","AO","125","115","21090","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","EO","85","80","25370","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","HEO","30","30","30110","30120"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","SEO","15","15","38560","38330"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","AO","130","120","21100","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","EO","60","55","25570","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","HEO","30","30","29940","29690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","SEO","20","20","37590","37690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","AO","65","60","21060","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","EO","60","60","25250","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","HEO","35","30","30730","30420"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","SEO","15","10","37510","37480"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","AO","50","45","21930","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","EO","60","55","25880","25230"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","HEO","25","25","31300","30230"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","SEO","15","15","36780","35900"
"In post","2021","Animal and Plant Health Agency","Other","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","SEO","[c]","[c]","[c]","[c]"
