"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","Heterosexual / straight","35","30","28940","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","160","150","25480","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Undeclared","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Unknown","145","140","24450","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","45","40","58590","55820"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Heterosexual / straight","390","360","36190","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","85","80","36820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","85","85","34270","30950"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","585","545","21820","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","45","45","22010","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Undeclared","75","70","21500","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","105","100","22440","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","530","505","26620","25730"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","LGBO","55","55","26360","25190"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Undeclared","90","85","26460","25660"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Unknown","95","85","26420","26270"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","Heterosexual / straight","145","140","54380","53870"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","Undeclared","40","35","57550","56680"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","610","585","35810","35900"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","Undeclared","135","130","37260","36970"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","105","95","36890","36610"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","Heterosexual / straight","320","295","21880","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","Undeclared","35","30","22400","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","Unknown","175","165","21450","20920"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","Heterosexual / straight","570","550","27130","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","LGBO","65","65","26950","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","Undeclared","65","65","27560","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","Unknown","190","185","27410","27500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Heterosexual / straight","1640","1610","58780","56340"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","LGBO","165","165","58020","56340"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Undeclared","190","185","58830","56680"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Unknown","1030","1015","61310","56340"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Heterosexual / straight","405","395","96830","87750"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Undeclared","45","45","93770","88590"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Unknown","500","495","88640","73450"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Heterosexual / straight","1475","1450","36340","35590"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","LGBO","160","160","36180","34640"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Undeclared","170","170","36590","35040"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Unknown","2210","2195","31450","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","30","25","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","45","45","25130","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Unknown","65","60","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Heterosexual / straight","40","40","51600","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","70","65","52640","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","110","105","32940","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","180","170","32770","30220"
"In post","2021","Charity Commission","Charity Commission","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","EO","Heterosexual / straight","60","55","24590","24440"
"In post","2021","Charity Commission","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","EO","Unknown","45","40","24980","24440"
"In post","2021","Charity Commission","Charity Commission","G6/G7","Heterosexual / straight","30","30","53990","51320"
"In post","2021","Charity Commission","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","G6/G7","Unknown","30","25","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","Heterosexual / straight","125","120","32710","29300"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","Undeclared","10","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","Unknown","95","90","33600","31500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","245","215","21770","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","35","30","22160","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","140","115","21660","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","185","175","27670","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","Unknown","65","60","27910","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","55","50","57540","56390"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
