"Status","Year","Ethnicity","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","AA/AO","145","125","23530","22910"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","EO","235","215","28550","28550"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","115","110","38040","37640"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","200","180","23520","22380"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","230","215","28710","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","30","30","59610","58560"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","115","110","37580","36970"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","AA/AO","185","160","21040","21010"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","EO","185","175","26370","26700"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","G6/G7","50","45","54900","52580"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","195","190","33650","31810"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","AA/AO","190","150","21440","21430"
