"Status","Year","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","15","15","43670","38360"
"In post","2021","Attorney General's Departments","Communications","London","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","Outside London","20","20","38420","39750"
"In post","2021","Attorney General's Departments","Corporate Finance","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","280","275","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","80","80","43070","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","95","95","37600","38180"
"In post","2021","Attorney General's Departments","Finance","London","65","60","42800","32570"
"In post","2021","Attorney General's Departments","Finance","Outside London","75","70","30110","27610"
"In post","2021","Attorney General's Departments","Human Resources","London","115","110","42000","35770"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","105","100","38260","33310"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","15","15","43820","32650"
"In post","2021","Attorney General's Departments","Legal","London","2725","2540","60120","61000"
"In post","2021","Attorney General's Departments","Legal","Outside London","2530","2335","53640","55000"
"In post","2021","Attorney General's Departments","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","London","795","745","29530","27440"
"In post","2021","Attorney General's Departments","Operational Delivery","Outside London","2265","2085","26560","25480"
"In post","2021","Attorney General's Departments","Other","London","420","405","32540","27580"
"In post","2021","Attorney General's Departments","Other","Outside London","20","15","35400","32730"
"In post","2021","Attorney General's Departments","Policy","London","75","75","49350","54760"
"In post","2021","Attorney General's Departments","Policy","Outside London","10","10","56510","56580"
"In post","2021","Attorney General's Departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","25","20","37080","32080"
"In post","2021","Attorney General's Departments","Security","Outside London","10","10","39980","38180"
"In post","2021","Attorney General's Departments","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","15","15","40110","37300"
"In post","2021","Cabinet Office","Operational Delivery","Outside London","10","10","35600","37300"
"In post","2021","Cabinet Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","35","35","45790","38430"
"In post","2021","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","30","25","54580","54700"
"In post","2021","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","London","6410","6325","49820","42270"
"In post","2021","Cabinet Office","Unknown","Outside London","2335","2250","40760","33300"
"In post","2021","Cabinet Office","Unknown","Overseas","[c]","[c]","[c]","[c]"
