"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Heterosexual / straight","35","30","28940","29190"
"In post","2021","Accountant in Bankruptcy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","160","150","25480","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Undeclared","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Unknown","145","140","24450","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Heterosexual / straight","45","40","58590","55820"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Heterosexual / straight","390","360","36190","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","85","80","36820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","85","85","34270","30950"
"In post","2021","Animal and Plant Health Agency","AA/AO","Heterosexual / straight","585","545","21820","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","LGBO","45","45","22010","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Undeclared","75","70","21500","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Unknown","105","100","22440","21050"
"In post","2021","Animal and Plant Health Agency","EO","Heterosexual / straight","530","505","26620","25730"
"In post","2021","Animal and Plant Health Agency","EO","LGBO","55","55","26360","25190"
"In post","2021","Animal and Plant Health Agency","EO","Undeclared","90","85","26460","25660"
"In post","2021","Animal and Plant Health Agency","EO","Unknown","95","85","26420","26270"
"In post","2021","Animal and Plant Health Agency","G6/G7","Heterosexual / straight","145","140","54380","53870"
"In post","2021","Animal and Plant Health Agency","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Undeclared","40","35","57550","56680"
"In post","2021","Animal and Plant Health Agency","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Heterosexual / straight","610","585","35810","35900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Undeclared","135","130","37260","36970"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Unknown","105","95","36890","36610"
"In post","2021","Attorney General's Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
