"Status","Year","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Outside London","440","410","38240","34480"
"In post","2021","Attorney General's Departments","East of England","Outside London","480","430","40480","34480"
"In post","2021","Attorney General's Departments","London","London","4685","4410","49990","51250"
"In post","2021","Attorney General's Departments","North East (England)","Outside London","340","310","38010","32370"
"In post","2021","Attorney General's Departments","North West (England)","Outside London","965","905","39570","34480"
"In post","2021","Attorney General's Departments","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Outside London","690","645","42200","37890"
"In post","2021","Attorney General's Departments","South West (England)","Outside London","330","305","41720","40050"
"In post","2021","Attorney General's Departments","Wales","Outside London","360","330","41230","38470"
"In post","2021","Attorney General's Departments","West Midlands (England)","Outside London","555","520","40000","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Outside London","985","900","42130","38760"
"In post","2021","Cabinet Office","East Midlands (England)","Outside London","25","25","48110","39190"
"In post","2021","Cabinet Office","East of England","Outside London","115","110","46760","38460"
"In post","2021","Cabinet Office","London","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office","North East (England)","Outside London","415","390","29430","24570"
"In post","2021","Cabinet Office","North West (England)","Outside London","455","445","46810","42410"
"In post","2021","Cabinet Office","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","Outside London","80","80","48190","49700"
"In post","2021","Cabinet Office","South East (England)","Outside London","220","210","42660","33950"
"In post","2021","Cabinet Office","South West (England)","Outside London","185","185","53790","49700"
"In post","2021","Cabinet Office","Unknown","Unknown","600","595","36250","32000"
"In post","2021","Cabinet Office","Wales","Outside London","65","65","38410","30370"
"In post","2021","Cabinet Office","West Midlands (England)","Outside London","50","50","62730","52530"
"In post","2021","Cabinet Office","Yorkshire and The Humber","Outside London","735","700","36340","33030"
"In post","2021","Chancellor's other departments","London","London","360","345","59470","50060"
"In post","2021","Chancellor's other departments","North East (England)","Outside London","15","15","49950","44950"
"In post","2021","Chancellor's other departments","North West (England)","Outside London","15","15","46380","42840"
"In post","2021","Chancellor's other departments","Scotland","Outside London","15","15","60430","45620"
"In post","2021","Charity Commission","London","London","75","70","42950","37910"
"In post","2021","Charity Commission","North West (England)","Outside London","305","290","32780","29160"
"In post","2021","Charity Commission","South West (England)","Outside London","50","45","35580","30350"
"In post","2021","Charity Commission","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","London","785","760","60810","56630"
"In post","2021","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Outside London","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","215","205","32140","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","Outside London","215","200","33440","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","London","5620","5490","48570","46490"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","210","200","31840","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","460","435","32760","31000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","40","35","31110","31150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","30","30","40460","41750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","400","380","35210","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","245","230","34910","36020"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","2070","1980","39770","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","Outside London","2780","2600","34630","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","670","640","33310","30630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","200","190","32560","30950"
"In post","2021","Department for Digital, Culture, Media and Sport","London","London","1715","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","45","45","40660","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","Outside London","290","275","41750","37100"
"In post","2021","Department for Education","East of England","Outside London","70","65","46610","49860"
"In post","2021","Department for Education","London","London","2630","2540","50280","53420"
"In post","2021","Department for Education","North East (England)","Outside London","785","755","38210","36780"
"In post","2021","Department for Education","North West (England)","Outside London","1145","1120","40360","36780"
"In post","2021","Department for Education","South West (England)","Outside London","225","215","43730","39780"
"In post","2021","Department for Education","Unknown","Unknown","15","10","56170","52840"
"In post","2021","Department for Education","West Midlands (England)","Outside London","1280","1250","40710","36820"
"In post","2021","Department for Education","Yorkshire and The Humber","Outside London","1490","1425","40780","36960"
"In post","2021","Department for Environment, Food and Rural Affairs","East Midlands (England)","Outside London","235","220","33000","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","East of England","Outside London","840","800","34160","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","London","London","2595","2520","44930","39490"
"In post","2021","Department for Environment, Food and Rural Affairs","North East (England)","Outside London","545","510","32040","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","1435","1315","28740","25100"
"In post","2021","Department for Environment, Food and Rural Affairs","Scotland","Outside London","155","150","32310","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","1375","1315","35800","31900"
"In post","2021","Department for Environment, Food and Rural Affairs","South West (England)","Outside London","1785","1680","35040","30660"
"In post","2021","Department for Environment, Food and Rural Affairs","Wales","Outside London","350","325","28810","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","West Midlands (England)","Outside London","635","595","32980","29520"
