"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scotland","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","AA/AO","15","15","15960","15820"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","EO","[c]","[c]","[c]","[c]"
