"Status","Year","Age","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Westminster","London","15","15","26930","27680"
"In post","2021","16-19","Commercial","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","City of Edinburgh","Outside London","15","15","20480","20140"
"In post","2021","16-19","Debt","Liverpool","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Tyneside","Outside London","15","15","20140","20140"
"In post","2021","16-19","Debt","West Lothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","20","20","19160","19040"
"In post","2021","16-19","Finance","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North Lanarkshire","Outside London","10","5","20140","20140"
"In post","2021","16-19","Finance","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Finance","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Legal","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Barnsley, Doncaster and Rotherham","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Belfast","Outside London","[c]","[c]","[c]","[c]"
