"Status","Year","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Female","950","820","26710","25560"
"In post","2021","Asian","East Midlands (England)","Male","750","715","27440","25560"
"In post","2021","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Female","655","570","29220","27310"
"In post","2021","Asian","East of England","Male","470","450","31950","28080"
"In post","2021","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Female","8145","7500","36380","31520"
"In post","2021","Asian","London","Male","5420","5305","38030","32790"
"In post","2021","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Female","215","190","26550","21440"
"In post","2021","Asian","North East (England)","Male","180","170","29350","25560"
"In post","2021","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Female","1150","995","26920","25040"
"In post","2021","Asian","North West (England)","Male","1425","1375","28280","26000"
"In post","2021","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Female","65","65","42680","34770"
"In post","2021","Asian","Overseas","Male","85","85","48870","45910"
"In post","2021","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Female","275","245","29620","26160"
"In post","2021","Asian","Scotland","Male","235","225","34650","27570"
"In post","2021","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Female","785","700","29500","27570"
"In post","2021","Asian","South East (England)","Male","595","570","31190","28400"
"In post","2021","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Female","365","330","33080","27780"
"In post","2021","Asian","South West (England)","Male","415","405","35370","32650"
"In post","2021","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","110","95","28840","27570"
"In post","2021","Asian","Unknown","Male","60","55","31140","27570"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Female","205","190","29870","25560"
"In post","2021","Asian","Wales","Male","220","215","30430","25560"
"In post","2021","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Female","2265","2025","27450","25560"
"In post","2021","Asian","West Midlands (England)","Male","1805","1760","28290","26560"
"In post","2021","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Female","1135","990","27320","25560"
"In post","2021","Asian","Yorkshire and The Humber","Male","1180","1140","28750","27570"
