"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
