"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","20","20","26410","26510"
"In post","2021","16-19","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","10","10","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Tax","45","40","20140","20140"
"In post","2021","16-19","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","20","20","21670","21040"
"In post","2021","16-19","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","40","35","20310","19820"
"In post","2021","16-19","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","15","15","22240","21990"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","30","30","21750","21950"
"In post","2021","16-19","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Economics","5","5","[c]","[c]"
"In post","2021","16-19","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Operational Delivery","290","270","21040","20600"
"In post","2021","16-19","No function","Other","10","10","[c]","[c]"
"In post","2021","16-19","No function","Policy","35","35","24800","24300"
"In post","2021","16-19","No function","Science and Engineering","20","20","18320","17710"
"In post","2021","16-19","No function","Tax","100","95","20140","20140"
"In post","2021","16-19","No function","Unknown","30","30","20570","20140"
"In post","2021","16-19","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other","20","20","17870","17780"
"In post","2021","16-19","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","10","10","23580","21870"
"In post","2021","16-19","Project Delivery","Science and Engineering","95","95","17460","16780"
"In post","2021","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Property","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","25","25","22250","21600"
"In post","2021","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","20","20","21950","19560"
"In post","2021","16-19","Security","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","70","65","21590","21430"
"In post","2021","16-19","Unknown","Other","55","55","19860","17060"
"In post","2021","16-19","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","270","265","22430","21010"
"In post","2021","20-29","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","50","50","37770","36980"
"In post","2021","20-29","Analysis","Economics","760","760","37240","34000"
"In post","2021","20-29","Analysis","Finance","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Human Resources","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Intelligence Analysis","75","75","46930","53360"
"In post","2021","20-29","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Delivery","110","110","31130","29540"
"In post","2021","20-29","Analysis","Operational Research","185","185","34860","33900"
"In post","2021","20-29","Analysis","Other","60","60","36170","34730"
"In post","2021","20-29","Analysis","Policy","140","135","41720","39780"
"In post","2021","20-29","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","115","115","27320","26480"
"In post","2021","20-29","Analysis","Social Research","350","345","34950","32540"
"In post","2021","20-29","Analysis","Statistics","565","565","34970","33000"
"In post","2021","20-29","Analysis","Tax","10","10","35280","36160"
"In post","2021","20-29","Analysis","Unknown","35","35","37320","34550"
"In post","2021","20-29","Commercial","Commercial","600","595","31410","29720"
"In post","2021","20-29","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Knowledge and Information Management","85","85","26190","26350"
"In post","2021","20-29","Commercial","Operational Delivery","70","65","32510","32400"
"In post","2021","20-29","Commercial","Other","10","10","38190","35490"
"In post","2021","20-29","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Project Delivery","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Science and Engineering","15","15","30450","31950"
"In post","2021","20-29","Commercial","Tax","[c]","[c]","[c]","[c]"
