"Status","Year","Age","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","15","15","26930","27680"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","15","15","20460","20140"
"In post","2021","16-19","Debt","Merseyside","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","15","15","20140","20140"
"In post","2021","16-19","Debt","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","5","5","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","19600","19040"
"In post","2021","16-19","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","10","5","20140","20140"
"In post","2021","16-19","Finance","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","No function","Berkshire, Buckinghamshire and Oxfordshire","10","10","24060","24680"
"In post","2021","16-19","No function","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Derbyshire and Nottinghamshire","15","15","21100","20600"
"In post","2021","16-19","No function","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Anglia","15","15","23380","22850"
"In post","2021","16-19","No function","East Wales","40","35","20370","20140"
"In post","2021","16-19","No function","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Eastern Scotland","20","20","20890","20760"
"In post","2021","16-19","No function","Gloucestershire, Wiltshire and Bath/Bristol area","35","30","18990","18940"
"In post","2021","16-19","No function","Greater Manchester","25","20","20910","20140"
"In post","2021","16-19","No function","Hampshire and Isle of Wight","10","10","19650","18460"
"In post","2021","16-19","No function","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","16-19","No function","Inner London - East","15","10","23590","22680"
"In post","2021","16-19","No function","Inner London - West","40","40","24730","24300"
