"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","AA","655","585","20710","20600"
"In post","2021","Asian","AA/AO","AO","7350","6455","22370","21140"
"In post","2021","Asian","EO","EO","9810","9160","28250","27570"
"In post","2021","Asian","G6/G7","G6","615","600","68920","67000"
"In post","2021","Asian","G6/G7","G7","2385","2320","55900","54700"
"In post","2021","Asian","SCS level","SCS level","310","295","92820","89810"
"In post","2021","Asian","SEO/HEO","HEO","4685","4525","34040","33660"
"In post","2021","Asian","SEO/HEO","SEO","2730","2670","41880","41140"
"In post","2021","Asian","Unknown","Unknown","615","575","29950","28200"
"In post","2021","Black","AA/AO","AA","520","485","21970","21750"
"In post","2021","Black","AA/AO","AO","3575","3320","24480","23500"
"In post","2021","Black","EO","EO","5420","5190","29180","29290"
"In post","2021","Black","G6/G7","G6","190","190","69760","68720"
"In post","2021","Black","G6/G7","G7","1080","1065","55950","54700"
"In post","2021","Black","SCS level","SCS level","95","95","95180","86810"
"In post","2021","Black","SEO/HEO","HEO","2440","2390","34440","34550"
"In post","2021","Black","SEO/HEO","SEO","1460","1440","42190","41760"
"In post","2021","Black","Unknown","Unknown","815","790","31230","28200"
"In post","2021","Chinese","AA/AO","AA","30","30","19790","19560"
"In post","2021","Chinese","AA/AO","AO","235","215","22450","21430"
"In post","2021","Chinese","EO","EO","300","285","27810","27570"
"In post","2021","Chinese","G6/G7","G6","55","55","68530","67330"
"In post","2021","Chinese","G6/G7","G7","195","190","55400","54400"
"In post","2021","Chinese","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","HEO","230","225","34340","34020"
"In post","2021","Chinese","SEO/HEO","SEO","165","160","42030","41080"
"In post","2021","Chinese","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Mixed","AA/AO","AA","165","150","20410","20600"
"In post","2021","Mixed","AA/AO","AO","1760","1625","23340","21430"
"In post","2021","Mixed","EO","EO","2210","2090","28110","27570"
"In post","2021","Mixed","G6/G7","G6","290","275","68420","66560"
"In post","2021","Mixed","G6/G7","G7","1015","975","55360","54470"
"In post","2021","Mixed","SCS level","SCS level","145","140","84040","79390"
"In post","2021","Mixed","SEO/HEO","HEO","1430","1400","33840","33330"
"In post","2021","Mixed","SEO/HEO","SEO","870","845","41660","40650"
"In post","2021","Mixed","Unknown","Unknown","385","365","30990","30210"
"In post","2021","Other ethnicity","AA/AO","AA","70","65","20550","20070"
"In post","2021","Other ethnicity","AA/AO","AO","500","455","23900","22350"
"In post","2021","Other ethnicity","EO","EO","735","695","28460","27660"
