"Status","Year","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Heterosexual / straight","105","100","21830","21160"
"In post","2021","Analysis","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","70","65","20700","21050"
"In post","2021","Analysis","EO","Heterosexual / straight","420","400","26640","26410"
"In post","2021","Analysis","EO","LGBO","55","55","26200","26050"
"In post","2021","Analysis","EO","Undeclared","40","40","27280","26720"
"In post","2021","Analysis","EO","Unknown","220","205","26050","25010"
"In post","2021","Analysis","G6/G7","Heterosexual / straight","1625","1550","58520","56520"
"In post","2021","Analysis","G6/G7","LGBO","115","110","58700","57990"
"In post","2021","Analysis","G6/G7","Undeclared","175","165","60530","58130"
"In post","2021","Analysis","G6/G7","Unknown","500","480","57190","54650"
"In post","2021","Analysis","SCS level","Heterosexual / straight","115","110","86210","78490"
"In post","2021","Analysis","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Heterosexual / straight","2385","2305","36120","36030"
"In post","2021","Analysis","SEO/HEO","LGBO","240","235","35470","34710"
"In post","2021","Analysis","SEO/HEO","Undeclared","250","240","36610","36160"
"In post","2021","Analysis","SEO/HEO","Unknown","825","800","34970","35840"
"In post","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Heterosexual / straight","335","315","22180","21130"
"In post","2021","Commercial","AA/AO","LGBO","20","15","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","65","55","21910","21580"
"In post","2021","Commercial","AA/AO","Unknown","110","100","22090","21430"
"In post","2021","Commercial","EO","Heterosexual / straight","625","595","26880","26670"
"In post","2021","Commercial","EO","LGBO","35","35","26780","26670"
"In post","2021","Commercial","EO","Undeclared","90","85","27400","26780"
"In post","2021","Commercial","EO","Unknown","115","110","26060","26270"
"In post","2021","Commercial","G6/G7","Heterosexual / straight","795","770","61450","59720"
"In post","2021","Commercial","G6/G7","LGBO","35","35","58880","55340"
"In post","2021","Commercial","G6/G7","Undeclared","80","75","65010","61730"
"In post","2021","Commercial","G6/G7","Unknown","835","820","61190","55420"
"In post","2021","Commercial","SCS level","Heterosexual / straight","150","150","106440","96970"
"In post","2021","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","415","410","87860","72000"
"In post","2021","Commercial","SEO/HEO","Heterosexual / straight","2120","2065","38390","37690"
"In post","2021","Commercial","SEO/HEO","LGBO","85","85","37060","36410"
"In post","2021","Commercial","SEO/HEO","Undeclared","300","290","38430","38280"
"In post","2021","Commercial","SEO/HEO","Unknown","530","510","37600","38000"
"In post","2021","Commercial","Unknown","Heterosexual / straight","175","170","40250","38260"
"In post","2021","Commercial","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","30","30","46000","39720"
"In post","2021","Commercial","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","AA/AO","Heterosexual / straight","300","265","21420","21130"
"In post","2021","Communications","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","60","55","21520","21440"
"In post","2021","Communications","AA/AO","Unknown","125","110","21400","21440"
"In post","2021","Communications","EO","Heterosexual / straight","1655","1590","25710","25560"
"In post","2021","Communications","EO","LGBO","120","120","25780","25560"
"In post","2021","Communications","EO","Undeclared","160","150","25640","25560"
"In post","2021","Communications","EO","Unknown","1265","1225","25900","25560"
"In post","2021","Communications","G6/G7","Heterosexual / straight","665","640","58130","56130"
"In post","2021","Communications","G6/G7","LGBO","60","60","58600","57200"
"In post","2021","Communications","G6/G7","Undeclared","60","60","56760","55070"
"In post","2021","Communications","G6/G7","Unknown","280","275","58000","55430"
"In post","2021","Communications","SCS level","Heterosexual / straight","85","80","89250","82070"
"In post","2021","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","45","40","87940","79960"
"In post","2021","Communications","SEO/HEO","Heterosexual / straight","2060","2010","35800","34550"
"In post","2021","Communications","SEO/HEO","LGBO","170","170","36390","34710"
"In post","2021","Communications","SEO/HEO","Undeclared","210","200","36190","35000"
"In post","2021","Communications","SEO/HEO","Unknown","855","840","35430","32810"
"In post","2021","Counter Fraud","AA/AO","Heterosexual / straight","475","420","21420","21440"
"In post","2021","Counter Fraud","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","75","65","21890","21440"
"In post","2021","Counter Fraud","AA/AO","Unknown","275","235","21400","21400"
"In post","2021","Counter Fraud","EO","Heterosexual / straight","1945","1825","26930","25560"
"In post","2021","Counter Fraud","EO","LGBO","115","110","26940","25560"
"In post","2021","Counter Fraud","EO","Undeclared","285","260","27370","26780"
"In post","2021","Counter Fraud","EO","Unknown","1070","1015","26990","25560"
"In post","2021","Counter Fraud","G6/G7","Heterosexual / straight","745","720","57380","55010"
"In post","2021","Counter Fraud","G6/G7","LGBO","40","40","56700","52680"
"In post","2021","Counter Fraud","G6/G7","Undeclared","150","140","58240","57130"
"In post","2021","Counter Fraud","G6/G7","Unknown","165","150","57230","55610"
"In post","2021","Counter Fraud","SCS level","Heterosexual / straight","35","30","81780","79810"
"In post","2021","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","2655","2525","35160","34010"
"In post","2021","Counter Fraud","SEO/HEO","LGBO","120","120","34630","32480"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","430","405","35450","35000"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","1005","965","35280","34500"
"In post","2021","Debt","AA/AO","Heterosexual / straight","1420","1255","20990","20140"
"In post","2021","Debt","AA/AO","LGBO","100","95","20670","20140"
"In post","2021","Debt","AA/AO","Undeclared","225","190","21610","21440"
"In post","2021","Debt","AA/AO","Unknown","1670","1530","20840","20140"
"In post","2021","Debt","EO","Heterosexual / straight","525","475","26630","25560"
"In post","2021","Debt","EO","LGBO","40","35","26490","25560"
"In post","2021","Debt","EO","Undeclared","75","65","27810","28130"
"In post","2021","Debt","EO","Unknown","315","290","26990","25560"
"In post","2021","Debt","G6/G7","Heterosexual / straight","30","30","54550","52580"
"In post","2021","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Heterosexual / straight","180","165","34290","32100"
"In post","2021","Debt","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Unknown","45","40","35510","35000"
"In post","2021","Digital, Data & Technology","AA/AO","Heterosexual / straight","255","245","21950","21130"
"In post","2021","Digital, Data & Technology","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Undeclared","45","45","22360","21580"
"In post","2021","Digital, Data & Technology","AA/AO","Unknown","135","125","21420","21490"
"In post","2021","Digital, Data & Technology","EO","Heterosexual / straight","1320","1265","27530","26670"
"In post","2021","Digital, Data & Technology","EO","LGBO","90","90","27020","26350"
"In post","2021","Digital, Data & Technology","EO","Undeclared","230","220","28300","27500"
"In post","2021","Digital, Data & Technology","EO","Unknown","640","620","27020","26350"
"In post","2021","Digital, Data & Technology","G6/G7","Heterosexual / straight","2210","2165","57610","55320"
"In post","2021","Digital, Data & Technology","G6/G7","LGBO","160","160","58290","56300"
"In post","2021","Digital, Data & Technology","G6/G7","Undeclared","295","290","58340","56340"
"In post","2021","Digital, Data & Technology","G6/G7","Unknown","1010","980","56470","53620"
"In post","2021","Digital, Data & Technology","SCS level","Heterosexual / straight","180","180","91260","83450"
"In post","2021","Digital, Data & Technology","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS level","Undeclared","15","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS level","Unknown","50","50","93250","87860"
"In post","2021","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","3880","3770","37310","36820"
"In post","2021","Digital, Data & Technology","SEO/HEO","LGBO","235","235","36340","36480"
"In post","2021","Digital, Data & Technology","SEO/HEO","Undeclared","630","610","37780","38150"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","2080","2025","37040","37100"
