"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","25","20","52780","50600"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","AA/AO","AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","Berkshire","EO","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","Berkshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","G6/G7","G7","55","45","58380","60710"
"In post","2021","Attorney General's Departments","Berkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","SEO/HEO","HEO","20","20","36790","36240"
"In post","2021","Attorney General's Departments","Berkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","AA/AO","AO","110","100","21780","21950"
"In post","2021","Attorney General's Departments","Birmingham","EO","EO","95","85","27130","28430"
"In post","2021","Attorney General's Departments","Birmingham","G6/G7","G6","15","15","74660","70000"
"In post","2021","Attorney General's Departments","Birmingham","G6/G7","G7","190","175","54250","55000"
"In post","2021","Attorney General's Departments","Birmingham","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","SEO/HEO","HEO","60","60","34220","34480"
"In post","2021","Attorney General's Departments","Birmingham","SEO/HEO","SEO","10","10","39170","38180"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","AA/AO","AO","20","20","22910","23520"
