"Status","Year","Disability","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Birmingham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Bristol, City of","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Camden and City of London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Central Hampshire","45","45","38960","37320"
"In post","2021","Declared disabled","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Leeds","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Liverpool","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Manchester","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Monmouthshire and Newport","85","80","36790","36030"
"In post","2021","Declared disabled","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Nottingham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Sheffield","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South Hampshire","50","45","37950","37020"
"In post","2021","Declared disabled","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Suffolk","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tower Hamlets","45","45","46510","42000"
"In post","2021","Declared disabled","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Westminster","165","155","46710","42470"
"In post","2021","Declared disabled","Analysis","Wiltshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","York","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","65","65","42950","40580"
"In post","2021","Declared disabled","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Buckinghamshire CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cambridgeshire CC","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Central Hampshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Croydon","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon CC","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Glasgow City","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester South West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hertfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leeds","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","5","5","[c]","[c]"
