"Status","Year","Function_of_post","Parent_department","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","Heterosexual / straight","140","130","69860","65470"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","Heterosexual / straight","95","95","59810","56360"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","LGBO","[c]","[c]","[c]","[c]"
