"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","EO","40","35","25160","24490"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","50","50","32600","31240"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","AA/AO","AO","135","125","21970","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","EO","EO","100","95","26500","25330"
"In post","2021","Declared disabled","Animal and Plant Health Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SEO/HEO","HEO","65","60","31240","30730"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","AO","75","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","EO","EO","115","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G6","50","50","67140","64670"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G7","185","180","55660","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SCS level","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","HEO","165","160","34330","34550"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","SEO","70","65","40660","40600"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","AA/AO","AO","30","30","21900","22490"
"In post","2021","Declared disabled","Companies House","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","G6","10","10","[c]","[c]"
