"Status","Year","Disability","Ethnicity","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Outside London","205","180","26320","24000"
"In post","2021","Declared disabled","Asian","East of England","Outside London","130","115","29430","27570"
"In post","2021","Declared disabled","Asian","London","London","1275","1180","35810","31520"
"In post","2021","Declared disabled","Asian","North East (England)","Outside London","35","30","27150","26560"
"In post","2021","Declared disabled","Asian","North West (England)","Outside London","255","230","27140","25410"
"In post","2021","Declared disabled","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Outside London","40","35","29480","25870"
"In post","2021","Declared disabled","Asian","South East (England)","Outside London","110","100","30130","27980"
"In post","2021","Declared disabled","Asian","South West (England)","Outside London","65","60","31300","27570"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Outside London","405","370","27150","27570"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","Outside London","185","170","27640","27570"
"In post","2021","Declared disabled","Black","East Midlands (England)","Outside London","60","55","25950","26520"
"In post","2021","Declared disabled","Black","East of England","Outside London","75","70","29380","29290"
"In post","2021","Declared disabled","Black","London","London","1205","1150","33460","31060"
"In post","2021","Declared disabled","Black","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","North West (England)","Outside London","65","60","29600","27570"
"In post","2021","Declared disabled","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Outside London","75","70","30990","27630"
"In post","2021","Declared disabled","Black","South West (England)","Outside London","55","50","31440","28650"
"In post","2021","Declared disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","Outside London","160","150","28180","27570"
"In post","2021","Declared disabled","Black","Yorkshire and The Humber","Outside London","60","55","29750","27570"
"In post","2021","Declared disabled","Chinese","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","London","35","30","36380","31110"
"In post","2021","Declared disabled","Chinese","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East Midlands (England)","Outside London","60","55","30080","27570"
"In post","2021","Declared disabled","Mixed","East of England","Outside London","70","65","29580","27570"
"In post","2021","Declared disabled","Mixed","London","London","420","400","39090","33640"
"In post","2021","Declared disabled","Mixed","North East (England)","Outside London","35","30","31870","27570"
"In post","2021","Declared disabled","Mixed","North West (England)","Outside London","145","130","27900","26470"
"In post","2021","Declared disabled","Mixed","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Outside London","35","35","30470","27570"
"In post","2021","Declared disabled","Mixed","South East (England)","Outside London","100","95","31890","29290"
"In post","2021","Declared disabled","Mixed","South West (England)","Outside London","85","80","32630","27570"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales","Outside London","55","55","28850","27570"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Outside London","75","65","27670","27470"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","Outside London","90","80","29770","27570"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","London","160","155","39730","34650"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Outside London","35","35","30150","27570"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Overseas","[c]","[c]","[c]","[c]"
