"Status","Year","Disability","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","1550","1420","29570","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","740","665","26250","24800"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","390","360","28200","27570"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","510","475","31040","29290"
"In post","2021","Declared disabled","East of England","East Anglia","1360","1245","29280","27570"
"In post","2021","Declared disabled","East of England","Essex","710","640","30210","29290"
"In post","2021","Declared disabled","London","Inner London - East","1570","1480","37760","31880"
"In post","2021","Declared disabled","London","Inner London - West","5180","5010","44730","39800"
"In post","2021","Declared disabled","London","Outer London - East and North East","490","450","30220","31060"
"In post","2021","Declared disabled","London","Outer London - South","1080","1000","36060","31170"
"In post","2021","Declared disabled","London","Outer London - West and North West","880","805","32000","31060"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","2325","2035","26830","25560"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","1095","970","27270","27130"
"In post","2021","Declared disabled","North West (England)","Cheshire","405","365","29170","27570"
"In post","2021","Declared disabled","North West (England)","Cumbria","240","215","27770","25790"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","2140","1965","29600","27570"
"In post","2021","Declared disabled","North West (England)","Lancashire","1945","1730","27100","27130"
"In post","2021","Declared disabled","North West (England)","Merseyside","2280","2020","27850","25560"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","325","300","27380","25560"
"In post","2021","Declared disabled","Overseas","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Scotland","Eastern Scotland","1920","1785","32610","27570"
"In post","2021","Declared disabled","Scotland","Highlands and Islands","165","155","28210","27570"
"In post","2021","Declared disabled","Scotland","North Eastern Scotland","130","125","33610","27570"
"In post","2021","Declared disabled","Scotland","Southern Scotland","505","445","28820","26140"
"In post","2021","Declared disabled","Scotland","West Central Scotland","1740","1555","28390","26160"
"In post","2021","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","1000","945","31740","29290"
"In post","2021","Declared disabled","South East (England)","Hampshire and Isle of Wight","1675","1520","30410","27570"
"In post","2021","Declared disabled","South East (England)","Kent","955","885","29540","29290"
"In post","2021","Declared disabled","South East (England)","Surrey, East and West Sussex","940","850","28990","27570"
"In post","2021","Declared disabled","South West (England)","Cornwall and Isles of Scilly","210","185","26460","27570"
"In post","2021","Declared disabled","South West (England)","Devon","960","855","28680","27570"
"In post","2021","Declared disabled","South West (England)","Dorset and Somerset","590","540","28750","27570"
"In post","2021","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","3000","2815","34510","31810"
"In post","2021","Declared disabled","Unknown","Unknown","195","180","31390","27570"
"In post","2021","Declared disabled","Wales","East Wales","1785","1635","31210","27570"
"In post","2021","Declared disabled","Wales","West Wales and The Valleys","1760","1525","26100","22810"
"In post","2021","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","440","400","27770","27380"
"In post","2021","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","1060","980","29310","27570"
"In post","2021","Declared disabled","West Midlands (England)","West Midlands","2100","1895","28930","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","500","445","27030","27130"
"In post","2021","Declared disabled","Yorkshire and The Humber","North Yorkshire","455","425","32500","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","South Yorkshire","1235","1100","30070","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","West Yorkshire","1800","1620","30250","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","8045","7420","31740","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","4240","3865","27860","26780"
"In post","2021","Declared non-disabled","East Midlands (England)","Lincolnshire","1970","1860","28080","26750"
"In post","2021","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","3125","2910","32360","29290"
"In post","2021","Declared non-disabled","East of England","East Anglia","8530","7935","29920","27570"
"In post","2021","Declared non-disabled","East of England","Essex","3850","3525","30820","29290"
"In post","2021","Declared non-disabled","London","Inner London - East","11005","10465","42400","36160"
"In post","2021","Declared non-disabled","London","Inner London - West","39470","38310","47970","43200"
"In post","2021","Declared non-disabled","London","Outer London - East and North East","2615","2430","30860","31060"
"In post","2021","Declared non-disabled","London","Outer London - South","7700","7290","37900","33900"
"In post","2021","Declared non-disabled","London","Outer London - West and North West","6495","6015","32620","31060"
"In post","2021","Declared non-disabled","North East (England)","Northumberland and Tyne and Wear","13965","12520","28990","25560"
"In post","2021","Declared non-disabled","North East (England)","Tees Valley and Durham","6355","5735","28170","26630"
"In post","2021","Declared non-disabled","North West (England)","Cheshire","2245","2100","30880","27570"
"In post","2021","Declared non-disabled","North West (England)","Cumbria","1680","1525","27630","24920"
"In post","2021","Declared non-disabled","North West (England)","Greater Manchester","13110","12300","31470","27570"
"In post","2021","Declared non-disabled","North West (England)","Lancashire","9795","8905","28690","27570"
"In post","2021","Declared non-disabled","North West (England)","Merseyside","13435","12250","28750","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Northern Ireland","2315","2180","28650","25560"
"In post","2021","Declared non-disabled","Overseas","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Scotland","Eastern Scotland","10115","9500","35320","29190"
"In post","2021","Declared non-disabled","Scotland","Highlands and Islands","1395","1315","28910","27570"
"In post","2021","Declared non-disabled","Scotland","North Eastern Scotland","1050","990","38600","31060"
"In post","2021","Declared non-disabled","Scotland","Southern Scotland","3475","3140","30290","27570"
"In post","2021","Declared non-disabled","Scotland","West Central Scotland","10930","10075","30500","27570"
"In post","2021","Declared non-disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","6390","6080","32810","29440"
"In post","2021","Declared non-disabled","South East (England)","Hampshire and Isle of Wight","9775","9075","32620","28650"
"In post","2021","Declared non-disabled","South East (England)","Kent","5935","5535","29490","28130"
"In post","2021","Declared non-disabled","South East (England)","Surrey, East and West Sussex","5840","5325","30640","27570"
"In post","2021","Declared non-disabled","South West (England)","Cornwall and Isles of Scilly","1180","1075","26500","26670"
"In post","2021","Declared non-disabled","South West (England)","Devon","6600","6060","32260","27570"
"In post","2021","Declared non-disabled","South West (England)","Dorset and Somerset","3540","3285","29520","27570"
"In post","2021","Declared non-disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20350","19320","36550","33300"
"In post","2021","Declared non-disabled","Unknown","Unknown","1015","950","32960","27570"
"In post","2021","Declared non-disabled","Wales","East Wales","13505","12620","33660","28850"
"In post","2021","Declared non-disabled","Wales","West Wales and The Valleys","11475","10395","29310","26780"
"In post","2021","Declared non-disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","2865","2680","27900","26300"
"In post","2021","Declared non-disabled","West Midlands (England)","Shropshire and Staffordshire","5620","5230","29970","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","West Midlands","12330","11330","31020","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","3345","3045","27960","27130"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","North Yorkshire","3330","3155","34130","29840"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","South Yorkshire","7275","6615","31540","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","West Yorkshire","11045","10160","31770","27570"
"In post","2021","Undeclared","East Midlands (England)","Derbyshire and Nottinghamshire","790","725","30580","28330"
"In post","2021","Undeclared","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","450","415","27940","27570"
"In post","2021","Undeclared","East Midlands (England)","Lincolnshire","260","240","29010","27570"
"In post","2021","Undeclared","East of England","Bedfordshire and Hertfordshire","255","240","32400","29870"
"In post","2021","Undeclared","East of England","East Anglia","1115","1035","31010","30980"
"In post","2021","Undeclared","East of England","Essex","360","335","31560","29290"
"In post","2021","Undeclared","London","Inner London - East","1005","930","40250","35320"
"In post","2021","Undeclared","London","Inner London - West","3660","3580","45350","40940"
"In post","2021","Undeclared","London","Outer London - East and North East","300","285","31390","31060"
"In post","2021","Undeclared","London","Outer London - South","570","540","38230","35030"
"In post","2021","Undeclared","London","Outer London - West and North West","550","515","34750","31060"
"In post","2021","Undeclared","North East (England)","Northumberland and Tyne and Wear","965","885","29020","26090"
"In post","2021","Undeclared","North East (England)","Tees Valley and Durham","800","720","29580","30450"
"In post","2021","Undeclared","North West (England)","Cheshire","280","260","30710","31650"
"In post","2021","Undeclared","North West (England)","Cumbria","110","105","29680","26810"
"In post","2021","Undeclared","North West (England)","Greater Manchester","1200","1115","30490","27570"
"In post","2021","Undeclared","North West (England)","Lancashire","1005","915","28580","27570"
"In post","2021","Undeclared","North West (England)","Merseyside","865","790","29880","27570"
"In post","2021","Undeclared","Northern Ireland","Northern Ireland","210","195","28570","26550"
"In post","2021","Undeclared","Overseas","Overseas","165","165","47110","41800"
"In post","2021","Undeclared","Scotland","Eastern Scotland","540","505","31760","27570"
"In post","2021","Undeclared","Scotland","Highlands and Islands","40","40","27750","26800"
"In post","2021","Undeclared","Scotland","North Eastern Scotland","55","55","42700","30360"
"In post","2021","Undeclared","Scotland","Southern Scotland","160","140","30480","27570"
"In post","2021","Undeclared","Scotland","West Central Scotland","640","590","29480","26670"
"In post","2021","Undeclared","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","730","685","33340","33000"
"In post","2021","Undeclared","South East (England)","Hampshire and Isle of Wight","1185","1110","32810","31650"
"In post","2021","Undeclared","South East (England)","Kent","775","715","30430","29290"
"In post","2021","Undeclared","South East (England)","Surrey, East and West Sussex","680","630","31270","29290"
"In post","2021","Undeclared","South West (England)","Cornwall and Isles of Scilly","95","90","27270","26670"
"In post","2021","Undeclared","South West (England)","Devon","450","415","29360","27570"
"In post","2021","Undeclared","South West (England)","Dorset and Somerset","400","375","30800","29240"
"In post","2021","Undeclared","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1870","1780","37850","36300"
"In post","2021","Undeclared","Unknown","Unknown","55","55","31670","27570"
"In post","2021","Undeclared","Wales","East Wales","975","910","31400","28750"
"In post","2021","Undeclared","Wales","West Wales and The Valleys","955","860","28730","26350"
"In post","2021","Undeclared","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","405","380","30000","30880"
"In post","2021","Undeclared","West Midlands (England)","Shropshire and Staffordshire","650","600","29740","27570"
"In post","2021","Undeclared","West Midlands (England)","West Midlands","895","830","30530","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","415","385","30460","31650"
"In post","2021","Undeclared","Yorkshire and The Humber","North Yorkshire","325","315","32560","30810"
"In post","2021","Undeclared","Yorkshire and The Humber","South Yorkshire","595","555","32060","30200"
"In post","2021","Undeclared","Yorkshire and The Humber","West Yorkshire","945","865","30740","28130"
"In post","2021","Unknown","East Midlands (England)","Derbyshire and Nottinghamshire","1910","1820","28990","25560"
"In post","2021","Unknown","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","825","770","25860","22850"
"In post","2021","Unknown","East Midlands (England)","Lincolnshire","205","200","27190","23150"
"In post","2021","Unknown","East of England","Bedfordshire and Hertfordshire","650","630","34180","30990"
"In post","2021","Unknown","East of England","East Anglia","1460","1385","31510","27570"
"In post","2021","Unknown","East of England","Essex","670","630","30800","26760"
"In post","2021","Unknown","London","Inner London - East","3615","3505","43300","37560"
"In post","2021","Unknown","London","Inner London - West","12835","12585","45540","40050"
"In post","2021","Unknown","London","Outer London - East and North East","375","365","29160","30470"
"In post","2021","Unknown","London","Outer London - South","1390","1345","36310","32520"
"In post","2021","Unknown","London","Outer London - West and North West","1130","1080","37260","31060"
"In post","2021","Unknown","North East (England)","Northumberland and Tyne and Wear","4115","3690","26640","21440"
"In post","2021","Unknown","North East (England)","Tees Valley and Durham","990","945","25470","22350"
"In post","2021","Unknown","North West (England)","Cheshire","975","960","33280","32770"
"In post","2021","Unknown","North West (England)","Cumbria","110","105","32250","29370"
"In post","2021","Unknown","North West (England)","Greater Manchester","3260","3120","29910","25560"
"In post","2021","Unknown","North West (England)","Lancashire","1365","1265","26480","22350"
"In post","2021","Unknown","North West (England)","Merseyside","2900","2700","28610","24880"
"In post","2021","Unknown","Northern Ireland","Northern Ireland","965","915","26460","22330"
"In post","2021","Unknown","Overseas","Overseas","795","795","52670","51870"
"In post","2021","Unknown","Scotland","Eastern Scotland","7260","6860","33540","30160"
"In post","2021","Unknown","Scotland","Highlands and Islands","350","320","28750","27570"
"In post","2021","Unknown","Scotland","North Eastern Scotland","625","590","32110","29350"
"In post","2021","Unknown","Scotland","Southern Scotland","1880","1710","27900","24110"
"In post","2021","Unknown","Scotland","West Central Scotland","4605","4335","31980","29350"
"In post","2021","Unknown","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","1470","1410","33880","30400"
"In post","2021","Unknown","South East (England)","Hampshire and Isle of Wight","2720","2465","31030","27030"
"In post","2021","Unknown","South East (England)","Kent","860","830","30030","27850"
"In post","2021","Unknown","South East (England)","Surrey, East and West Sussex","845","800","30930","27960"
"In post","2021","Unknown","South West (England)","Cornwall and Isles of Scilly","160","145","27000","21960"
"In post","2021","Unknown","South West (England)","Devon","1005","960","28280","24500"
"In post","2021","Unknown","South West (England)","Dorset and Somerset","675","635","30390","26740"
