"Status","Year","Disability","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SEO/HEO","40","40","42150","41030"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","EO","45","45","25800","26270"
"In post","2021","Declared disabled","Commercial","Outside London","G6/G7","60","55","57740","55620"
"In post","2021","Declared disabled","Commercial","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","SEO/HEO","260","250","37480","37210"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","G6/G7","20","15","[c]","[c]"
