"Status","Year","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Female","30","25","28840","29190"
"In post","2021","Accountant in Bankruptcy","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Female","40","35","21190","21000"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Female","215","195","25100","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Male","140","140","25000","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Female","30","30","57240","55470"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","340","310","35260","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","250","240","36760","34500"
"In post","2021","Animal and Plant Health Agency","AA/AO","Female","555","505","21820","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Male","255","250","22000","21050"
"In post","2021","Animal and Plant Health Agency","EO","Female","455","425","26380","25380"
"In post","2021","Animal and Plant Health Agency","EO","Male","315","305","26820","26440"
"In post","2021","Animal and Plant Health Agency","G6/G7","Female","105","100","54150","54220"
"In post","2021","Animal and Plant Health Agency","G6/G7","Male","105","100","56240","54580"
"In post","2021","Animal and Plant Health Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Female","490","455","35880","35900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Male","390","380","36420","36500"
"In post","2021","Attorney General's Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Female","315","285","21750","20920"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Male","240","235","21890","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","Female","535","510","27150","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","Male","355","350","27300","27500"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Female","1505","1460","59400","55950"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Male","1525","1510","59800","56440"
"In post","2021","Cabinet Office (excl. agencies)","SCS level","Female","420","405","87650","75930"
"In post","2021","Cabinet Office (excl. agencies)","SCS level","Male","550","550","95640","81170"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Female","2270","2235","33600","33300"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Male","1750","1740","33720","33300"
