"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","AO","40","35","23650","23520"
"In post","2021","Declared disabled","Attorney General's Departments","London","EO","75","70","29110","29280"
"In post","2021","Declared disabled","Attorney General's Departments","London","G6","65","60","69470","67600"
"In post","2021","Declared disabled","Attorney General's Departments","London","G7","130","120","58320","56980"
"In post","2021","Declared disabled","Attorney General's Departments","London","HEO","35","35","35960","35020"
"In post","2021","Declared disabled","Attorney General's Departments","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","AO","125","115","22260","21950"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","EO","105","95","27820","28430"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","G6","20","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","G7","215","195","55840","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","HEO","60","60","34510","34480"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","EO","80","80","27780","27500"
"In post","2021","Declared disabled","Cabinet Office","London","G6","45","45","66860","64500"
"In post","2021","Declared disabled","Cabinet Office","London","G7","155","150","56180","54700"
"In post","2021","Declared disabled","Cabinet Office","London","HEO","100","95","34970","34550"
"In post","2021","Declared disabled","Cabinet Office","London","SCS level","40","40","90710","76200"
"In post","2021","Declared disabled","Cabinet Office","London","SEO","45","40","41470","41300"
"In post","2021","Declared disabled","Cabinet Office","Outside London","AO","45","40","20870","20800"
"In post","2021","Declared disabled","Cabinet Office","Outside London","EO","30","30","25760","25550"
"In post","2021","Declared disabled","Cabinet Office","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Outside London","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Outside London","HEO","50","50","33440","33300"
"In post","2021","Declared disabled","Cabinet Office","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Outside London","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
