"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","EO","EO","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","EO","EO","30","30","25880","26250"
"In post","2021","16-19","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA/AO","AO","15","10","20660","20140"
"In post","2021","16-19","Finance","EO","EO","20","20","20210","19040"
"In post","2021","16-19","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","AA/AO","AA","90","80","19140","18850"
"In post","2021","16-19","Operational Delivery","AA/AO","AO","305","290","21630","21430"
"In post","2021","16-19","Operational Delivery","EO","EO","20","20","24710","25060"
"In post","2021","16-19","Operational Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Operational Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Other","AA/AO","AO","10","10","21350","20950"
"In post","2021","16-19","Other","EO","EO","30","30","20650","19040"
"In post","2021","16-19","Other","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Unknown","40","40","18710","15940"
"In post","2021","16-19","Policy","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Policy","EO","EO","30","30","24370","24890"
"In post","2021","16-19","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
