"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","40","35","25160","24490"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","HEO","50","50","32600","31240"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","AO","135","125","21970","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","EO","100","95","26500","25330"
"In post","2021","Declared disabled","Animal and Plant Health Agency","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","HEO","65","60","31240","30730"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","AO","75","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","EO","115","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","G6","50","50","67140","64670"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","G7","185","180","55660","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","HEO","165","160","34330","34550"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SEO","70","65","40660","40600"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","AO","30","30","21900","22490"
"In post","2021","Declared disabled","Companies House","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","AO","35","30","21930","22220"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","EO","10","10","[c]","[c]"
