"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","Outside London","20","20","41450","42320"
"In post","2021","Analysis","Digital, Data and Technology","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","Outside London","15","15","37080","33190"
"In post","2021","Analysis","Digital, Data and Technology","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Sheffield","Outside London","55","50","44750","42420"
"In post","2021","Analysis","Digital, Data and Technology","Swansea","Outside London","25","25","27990","26780"
"In post","2021","Analysis","Digital, Data and Technology","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wakefield","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Westminster","London","75","70","46510","45250"
"In post","2021","Analysis","Digital, Data and Technology","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Berkshire","Outside London","15","15","48190","51970"
"In post","2021","Analysis","Economics","Birmingham","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Camden and City of London","London","20","20","74640","75500"
"In post","2021","Analysis","Economics","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Glasgow City","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Manchester","Outside London","30","25","37790","31810"
"In post","2021","Analysis","Economics","Monmouthshire and Newport","Outside London","125","120","35890","29540"
"In post","2021","Analysis","Economics","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South Hampshire","Outside London","10","10","42450","42560"
"In post","2021","Analysis","Economics","Tower Hamlets","London","175","170","56040","55860"
"In post","2021","Analysis","Economics","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Westminster","London","870","860","45430","39030"
"In post","2021","Analysis","Economics","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Croydon","London","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Tower Hamlets","London","25","25","46870","41770"
"In post","2021","Analysis","Finance","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Tower Hamlets","London","[c]","[c]","[c]","[c]"
