"Status","Year","Organisation","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","SEO/HEO","30","30","38770","35110"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","AA/AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","45","45","34050","31220"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","SEO/HEO","25","25","34910","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","35","35","34630","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","SEO/HEO","75","65","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","SEO/HEO","20","20","37090","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SEO/HEO","125","125","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","SEO/HEO","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","SEO/HEO","50","45","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","SEO/HEO","50","45","34480","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","SEO/HEO","40","40","34430","32260"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","EO","15","15","25340","25100"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","SEO/HEO","15","15","36810","36520"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","15","10","21070","21050"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","15","15","25090","25320"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","20","20","39070","37800"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","AA/AO","100","95","21080","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","EO","25","25","25330","25100"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","SEO/HEO","25","20","38660","37240"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","AA/AO","110","105","21100","21050"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","EO","45","40","25460","25190"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","G6/G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","SEO/HEO","40","40","37630","37360"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Dorset CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Dorset CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Dorset CC","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Somerset","EO","10","10","25270","25520"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Somerset","SEO/HEO","15","15","37570","36970"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","SEO/HEO","15","10","31950","31900"
"In post","2021","Animal and Plant Health Agency","East Anglia","North and West Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","North and West Norfolk","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","AA/AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","EO","15","15","24770","24920"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","SEO/HEO","20","20","37710","34830"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","AA/AO","45","45","21050","21050"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","EO","10","10","25090","25100"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","G6/G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","20","20","33850","31530"
"In post","2021","Animal and Plant Health Agency","East Wales","Powys","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Wales","Powys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Wales","Powys","SEO/HEO","15","15","35810","37240"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO/HEO","10","10","35400","35060"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","AA/AO","10","10","21050","21050"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","SEO/HEO","10","10","35970","36970"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","EO","20","20","26510","26520"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","SEO/HEO","15","15","34450","32830"
"In post","2021","Animal and Plant Health Agency","Essex","Thurrock","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Thurrock","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","35","35","21200","21050"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","AA/AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","EO","20","15","25490","25320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","SEO/HEO","30","30","36820","36780"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Manchester","EO","10","10","27210","28030"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","EO","10","10","24930","25010"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","SEO/HEO","10","10","33930","30610"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire","AA/AO","35","35","20950","21050"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire","EO","50","45","25550","25190"
