"Status","Year","Disability","Ethnicity","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Heterosexual / straight","70","65","43860","40800"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Heterosexual / straight","50","50","42410","35590"
"In post","2021","Declared disabled","Asian","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","50","45","40510","33640"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","Heterosexual / straight","50","50","38530","36570"
"In post","2021","Declared disabled","Asian","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Heterosexual / straight","40","40","35380","33120"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","Heterosexual / straight","10","10","[c]","[c]"
