"Status","Year","Function_of_post","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","London","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","480","455","33750","29750"
"In post","2021","Analysis","Charity Commission","Charity Commission","London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Outside London","10","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","London","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Outside London","15","15","38390","32050"
"In post","2021","Analysis","Debt Management Office","HM Treasury","London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","455","440","40290","37360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","290","285","43330","36220"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","London","175","165","46830","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Outside London","230","220","42500","42220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","55","55","35470","31350"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","London","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Outside London","15","15","49020","51970"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","London","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Outside London","20","15","41690","39470"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","90","85","47840","49530"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Outside London","60","55","30950","31620"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","London","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Outside London","35","30","44360","39390"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Outside London","15","15","37780","33840"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","360","350","47610","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","285","270","39520","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","London","125","120","50770","52680"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","15","15","38410","39490"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","London","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","110","105","37740","36000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
