"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Inner London - West","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Inner London - West","175","165","67420","60780"
"In post","2021","Analysis","Chancellor's other departments","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Inner London - East","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Inner London - West","295","290","43630","37120"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wales","East Wales","15","15","49150","55600"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Inner London - West","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","42290","42500"
"In post","2021","Analysis","Department for Education","London","Inner London - West","180","170","46760","45540"
"In post","2021","Analysis","Department for Education","North East (England)","Tees Valley and Durham","30","30","43530","42580"
"In post","2021","Analysis","Department for Education","North West (England)","Greater Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","15","41410","41990"
"In post","2021","Analysis","Department for Education","West Midlands (England)","West Midlands","10","10","41650","40130"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","South Yorkshire","120","115","44020","42420"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East of England","East Anglia","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Inner London - West","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Cumbria","15","15","28910","29180"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Devon","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Dorset and Somerset","115","110","33040","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","North Yorkshire","55","55","33760","30220"
"In post","2021","Analysis","Department for International Trade","London","Inner London - West","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","32380","32830"
"In post","2021","Analysis","Department for Transport","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","Inner London - West","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South East (England)","Surrey, East and West Sussex","10","10","45120","45620"
"In post","2021","Analysis","Department for Transport","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","15","33530","31380"
"In post","2021","Analysis","Department for Transport","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Wales","West Wales and The Valleys","30","30","27950","26780"
"In post","2021","Analysis","Department for Transport","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Yorkshire and The Humber","West Yorkshire","10","10","25320","21590"
"In post","2021","Analysis","Department for Work and Pensions","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North West (England)","Merseyside","25","25","41550","39390"
"In post","2021","Analysis","Department for Work and Pensions","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","Inner London - West","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Yorkshire and The Humber","West Yorkshire","85","85","47560","49530"
"In post","2021","Analysis","ESTYN","Wales","East Wales","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Inner London - West","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","Inner London - West","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","Outer London - South","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","East of England","Essex","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs","London","Inner London - East","145","140","48100","41760"
"In post","2021","Analysis","HM Revenue and Customs","London","Inner London - West","200","195","47580","41760"
"In post","2021","Analysis","HM Revenue and Customs","London","Outer London - South","30","30","47250","41760"
"In post","2021","Analysis","HM Revenue and Customs","North East (England)","Northumberland and Tyne and Wear","15","15","45550","51000"
"In post","2021","Analysis","HM Revenue and Customs","North West (England)","Greater Manchester","170","160","38600","33690"
"In post","2021","Analysis","HM Revenue and Customs","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","North West (England)","Merseyside","80","75","40000","38630"
"In post","2021","Analysis","HM Revenue and Customs","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","Inner London - West","150","150","53930","52840"
"In post","2021","Analysis","HM Treasury","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","Inner London - West","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","35340","33300"
"In post","2021","Analysis","Ministry of Defence","South East (England)","Hampshire and Isle of Wight","370","360","40650","37530"
"In post","2021","Analysis","Ministry of Defence","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","38660","37320"
"In post","2021","Analysis","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","Inner London - West","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
