"Status","Year","Age","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA","210","195","19280","19560"
"In post","2021","16-19","AO","735","710","21240","21010"
"In post","2021","16-19","EO","305","300","23060","24300"
"In post","2021","16-19","HEO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","70","70","18720","16780"
"In post","2021","20-29","AA","2805","2710","20070","20600"
"In post","2021","20-29","AO","23660","23035","22760","21430"
"In post","2021","20-29","EO","21605","21365","27030","27370"
"In post","2021","20-29","G6","295","295","64640","64500"
"In post","2021","20-29","G7","4060","4045","53730","53380"
"In post","2021","20-29","HEO","16540","16455","32420","32120"
"In post","2021","20-29","SCS level","45","45","71850","71090"
"In post","2021","20-29","SEO","5445","5420","39730","39990"
"In post","2021","20-29","Unknown","2970","2920","26300","24020"
"In post","2021","30-39","AA","2535","2310","20130","20070"
"In post","2021","30-39","AO","23290","21195","23070","21430"
"In post","2021","30-39","EO","25665","24295","27480","27570"
"In post","2021","30-39","G6","3770","3670","66810","65710"
"In post","2021","30-39","G7","12760","12400","54220","53560"
"In post","2021","30-39","HEO","17665","17105","33010","31990"
"In post","2021","30-39","SCS level","1165","1130","79090","74770"
"In post","2021","30-39","SEO","12670","12320","40710","40050"
"In post","2021","30-39","Unknown","3875","3635","31470","31420"
"In post","2021","40-49","AA","3030","2790","20040","20060"
"In post","2021","40-49","AO","24200","21535","22900","21160"
"In post","2021","40-49","EO","28385","26390","27780","27570"
"In post","2021","40-49","G6","5645","5440","68240","66610"
"In post","2021","40-49","G7","13495","12955","55240","54270"
"In post","2021","40-49","HEO","16660","15990","33650","32750"
"In post","2021","40-49","SCS level","2895","2805","88170","80580"
"In post","2021","40-49","SEO","14000","13465","41810","40580"
"In post","2021","40-49","Unknown","3980","3715","34580","34330"
"In post","2021","50-59","AA","6125","5645","20000","20060"
"In post","2021","50-59","AO","34360","30710","22970","21430"
"In post","2021","50-59","EO","39185","36335","28200","27570"
"In post","2021","50-59","G6","5625","5510","69930","68720"
"In post","2021","50-59","G7","12800","12460","56170","54990"
"In post","2021","50-59","HEO","20470","19705","34320","33630"
"In post","2021","50-59","SCS level","2630","2575","95790","87290"
"In post","2021","50-59","SEO","15815","15360","42560","41340"
"In post","2021","50-59","Unknown","4015","3825","35540","34320"
"In post","2021","60-64","AA","3005","2540","19820","19750"
"In post","2021","60-64","AO","11525","9255","22440","21180"
"In post","2021","60-64","EO","10650","8465","28160","27570"
"In post","2021","60-64","G6","920","805","71490","70760"
"In post","2021","60-64","G7","2190","1920","57580","56410"
"In post","2021","60-64","HEO","4590","3825","34660","34290"
"In post","2021","60-64","SCS level","450","410","102990","94500"
"In post","2021","60-64","SEO","3130","2705","43610","42520"
"In post","2021","60-64","Unknown","1250","1100","33350","32690"
"In post","2021","65+","AA","1395","1080","19660","19560"
"In post","2021","65+","AO","3780","2885","22380","21430"
"In post","2021","65+","EO","3075","2275","28150","27570"
"In post","2021","65+","G6","280","215","72170","71890"
