"Status","Year","Region_ITL1","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Female","Heterosexual / straight","415","355","25610","22920"
"In post","2021","East Midlands (England)","Derby","Female","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Female","Undeclared","60","50","23790","21010"
"In post","2021","East Midlands (England)","Derby","Female","Unknown","150","125","23190","21010"
"In post","2021","East Midlands (England)","Derby","Male","Heterosexual / straight","225","220","29600","27570"
"In post","2021","East Midlands (England)","Derby","Male","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Male","Undeclared","40","40","33100","27570"
"In post","2021","East Midlands (England)","Derby","Male","Unknown","90","85","26130","25560"
"In post","2021","East Midlands (England)","Derby","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Female","Heterosexual / straight","205","175","26130","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Female","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Female","Unknown","45","35","26890","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Male","Heterosexual / straight","75","70","28110","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Male","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Male","Unknown","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Female","Heterosexual / straight","980","855","27150","25440"
"In post","2021","East Midlands (England)","Leicester","Female","LGBO","45","45","28520","27440"
"In post","2021","East Midlands (England)","Leicester","Female","Undeclared","140","120","26670","24680"
"In post","2021","East Midlands (England)","Leicester","Female","Unknown","395","330","25120","22350"
"In post","2021","East Midlands (England)","Leicester","Male","Heterosexual / straight","640","615","27620","26210"
"In post","2021","East Midlands (England)","Leicester","Male","LGBO","45","40","27860","27570"
"In post","2021","East Midlands (England)","Leicester","Male","Undeclared","95","90","27710","27130"
"In post","2021","East Midlands (England)","Leicester","Male","Unknown","280","260","25920","22350"
"In post","2021","East Midlands (England)","Leicester","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Female","Heterosexual / straight","740","665","28050","25400"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Female","LGBO","40","40","27930","26160"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Female","Undeclared","95","90","26630","25400"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Female","Unknown","175","155","27830","25750"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Male","Heterosexual / straight","705","685","30530","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Male","LGBO","25","25","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Male","Undeclared","95","95","31620","28220"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Male","Unknown","150","140","29340","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Female","Heterosexual / straight","1075","990","26400","25030"
"In post","2021","East Midlands (England)","Lincolnshire","Female","LGBO","45","45","26600","26700"
"In post","2021","East Midlands (England)","Lincolnshire","Female","Undeclared","160","140","27560","26240"
"In post","2021","East Midlands (England)","Lincolnshire","Female","Unknown","165","145","28050","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Male","Heterosexual / straight","1035","1005","29610","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Male","LGBO","35","35","28240","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Male","Undeclared","140","135","31150","28210"
"In post","2021","East Midlands (England)","Lincolnshire","Male","Unknown","175","165","28410","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Female","Heterosexual / straight","250","215","25210","27570"
