"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derby","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","AA/AO","35","30","21300","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","EO","25","25","27610","28430"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","G6/G7","65","60","52770","51470"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","SEO/HEO","15","15","36320","38000"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","AA/AO","75","70","21320","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","EO","60","55","26810","26220"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","G6/G7","100","95","54320","55370"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","SEO/HEO","35","35","34660","33900"
"In post","2021","Attorney General's Departments","East Midlands (England)","West Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","West Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","West Northamptonshire","G6/G7","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","West Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","AA/AO","40","35","22800","23520"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","EO","50","45","28920","30110"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","G6/G7","70","65","59610","60710"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","SEO/HEO","30","25","37790","39750"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","AA/AO","35","30","23150","23520"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","EO","35","30","28870","29400"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","G6/G7","75","70","59050","61510"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","SEO/HEO","25","20","37850","40000"
"In post","2021","Attorney General's Departments","East of England","Norwich and East Norfolk","AA/AO","30","25","21220","21950"
"In post","2021","Attorney General's Departments","East of England","Norwich and East Norfolk","EO","15","10","27710","28430"
"In post","2021","Attorney General's Departments","East of England","Norwich and East Norfolk","G6/G7","25","25","56420","55610"
"In post","2021","Attorney General's Departments","East of England","Norwich and East Norfolk","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Peterborough","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Suffolk","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Suffolk","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Suffolk","G6/G7","10","10","57560","55610"
"In post","2021","Attorney General's Departments","East of England","Suffolk","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Bexley and Greenwich","AA/AO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Croydon","AA/AO","20","20","23620","23520"
"In post","2021","Attorney General's Departments","London","Croydon","EO","20","15","28390","27470"
"In post","2021","Attorney General's Departments","London","Croydon","G6/G7","25","25","62040","62140"
"In post","2021","Attorney General's Departments","London","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Croydon","SEO/HEO","25","25","35060","35000"
"In post","2021","Attorney General's Departments","London","Haringey and Islington","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Haringey and Islington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Haringey and Islington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Harrow and Hillingdon","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Harrow and Hillingdon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Harrow and Hillingdon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Hounslow and Richmond upon Thames","AA/AO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Hounslow and Richmond upon Thames","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Lewisham and Southwark","AA/AO","10","10","23150","24590"
"In post","2021","Attorney General's Departments","London","Lewisham and Southwark","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Lewisham and Southwark","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Lewisham and Southwark","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Redbridge and Waltham Forest","AA/AO","10","10","23870","24590"
"In post","2021","Attorney General's Departments","London","Redbridge and Waltham Forest","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Westminster","AA/AO","335","315","23120","23520"
"In post","2021","Attorney General's Departments","London","Westminster","EO","715","680","28650","27760"
"In post","2021","Attorney General's Departments","London","Westminster","G6/G7","2505","2330","60270","61000"
"In post","2021","Attorney General's Departments","London","Westminster","SCS level","255","245","87180","81420"
"In post","2021","Attorney General's Departments","London","Westminster","SEO/HEO","680","665","37600","38910"
"In post","2021","Attorney General's Departments","London","Westminster","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","AA/AO","30","20","21990","21950"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","EO","20","15","27420","28430"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","G6/G7","40","35","54620","55610"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","SEO/HEO","10","10","35230","34480"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","AA/AO","70","60","21800","21950"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","EO","40","40","27350","28430"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","G6/G7","95","90","54930","55610"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","SEO/HEO","35","35","35260","34480"
"In post","2021","Attorney General's Departments","North West (England)","East Cumbria","AA/AO","15","10","21950","21950"
"In post","2021","Attorney General's Departments","North West (England)","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","East Cumbria","G6/G7","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","AA/AO","85","80","21840","21950"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","EO","80","75","27050","26900"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","G6/G7","135","125","54630","55610"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","SEO/HEO","60","60","34930","34480"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","AA/AO","70","60","21940","21950"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","EO","85","75","27920","28430"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","G6/G7","165","155","56260","55610"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","SEO/HEO","45","40","35320","34480"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","AA/AO","35","30","22310","21950"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","EO","40","35","28090","28430"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","G6/G7","75","70","54890","55610"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","SEO/HEO","25","25","35680","34480"
"In post","2021","Attorney General's Departments","North West (England)","Warrington","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Warrington","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Warrington","G6/G7","15","15","63080","58850"
"In post","2021","Attorney General's Departments","North West (England)","Warrington","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","West Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","West Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","AA/AO","30","25","23270","23520"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","EO","25","25","28240","27440"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","G6/G7","60","55","59990","62120"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","SEO/HEO","20","20","37290","38000"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","AA/AO","20","20","22910","23520"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","EO","25","25","28470","27760"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","G6/G7","45","45","59980","62120"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","SEO/HEO","15","10","36450","36240"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","AA/AO","30","30","23210","23520"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","EO","35","30","29290","29170"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","G6/G7","45","40","57510","55000"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","SEO/HEO","15","10","38260","39750"
"In post","2021","Attorney General's Departments","South East (England)","Mid Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Mid Kent","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Mid Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Portsmouth","AA/AO","35","35","21970","23520"
"In post","2021","Attorney General's Departments","South East (England)","Portsmouth","EO","20","20","28450","28300"
"In post","2021","Attorney General's Departments","South East (England)","Portsmouth","G6/G7","40","40","59790","62120"
"In post","2021","Attorney General's Departments","South East (England)","Portsmouth","SEO/HEO","10","10","37560","39540"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","AA/AO","20","20","22810","23520"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","EO","30","30","28410","27300"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","G6/G7","75","70","59740","62140"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","SEO/HEO","25","20","37220","39540"
"In post","2021","Attorney General's Departments","South East (England)","West Surrey","AA/AO","10","10","22580","23520"
"In post","2021","Attorney General's Departments","South East (England)","West Surrey","EO","15","15","29220","29860"
"In post","2021","Attorney General's Departments","South East (England)","West Surrey","G6/G7","20","20","59430","62370"
"In post","2021","Attorney General's Departments","South East (England)","West Surrey","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","West Sussex (North East)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","25","25","54450","53830"
"In post","2021","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","AA/AO","25","25","21760","21950"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","EO","35","35","26760","26220"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","G6/G7","70","65","55790","55610"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","SEO/HEO","20","20","35900","36240"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","AA/AO","10","10","22550","21950"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","G6/G7","10","10","53790","54480"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Devon CC","AA/AO","15","15","20930","21950"
"In post","2021","Attorney General's Departments","South West (England)","Devon CC","EO","20","20","26970","26780"
"In post","2021","Attorney General's Departments","South West (England)","Devon CC","G6/G7","45","40","55390","55610"
"In post","2021","Attorney General's Departments","South West (England)","Devon CC","SEO/HEO","20","20","34960","34050"
"In post","2021","Attorney General's Departments","South West (England)","Wiltshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Wiltshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Wiltshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Wiltshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","AA/AO","50","45","21840","21950"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","EO","30","30","27620","28430"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","G6/G7","100","95","55040","55610"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","SEO/HEO","30","30","35750","36130"
"In post","2021","Attorney General's Departments","Wales","Central Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","AA/AO","10","10","22240","21950"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","EO","15","15","27170","27440"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","G6/G7","30","30","54430","55610"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","SEO/HEO","15","15","35890","36130"
"In post","2021","Attorney General's Departments","Wales","Swansea","AA/AO","15","15","22240","21950"
"In post","2021","Attorney General's Departments","Wales","Swansea","EO","10","10","27280","28430"
"In post","2021","Attorney General's Departments","Wales","Swansea","G6/G7","35","30","55030","54200"
"In post","2021","Attorney General's Departments","Wales","Swansea","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Swansea","SEO/HEO","10","10","34140","33310"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","AA/AO","110","100","21760","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","EO","95","85","27130","28430"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","G6/G7","205","190","55630","55610"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","SEO/HEO","75","70","35040","34480"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","AA/AO","15","15","22030","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","G6/G7","35","30","55470","54200"
"In post","2021","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Wolverhampton","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Worcestershire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","AA/AO","20","20","21930","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","EO","15","15","27700","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","G6/G7","30","30","56090","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","AA/AO","75","65","21700","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","EO","60","55","27340","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","G6/G7","175","160","54880","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","SCS level","10","10","88100","84740"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","SEO/HEO","55","55","35620","34480"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Sheffield","AA/AO","40","35","21660","21950"
