"Status","Year","Disability","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AO","35","30","23640","21010"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","EO","45","40","28020","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","AA","25","25","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","AO","155","140","21120","21010"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","EO","65","55","27480","27570"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","EO","70","60","30750","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","EO","45","45","30860","31060"
"In post","2021","Declared disabled","Barnet","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","AO","165","140","22190","21010"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","EO","140","120","27470","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","55","50","31160","30880"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","55","45","23160","21130"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","290","265","24380","25730"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","45","45","67330","67160"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","110","110","53040","54270"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","310","300","31510","32380"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","355","340","41170","40830"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","160","155","38990","36530"
"In post","2021","Declared disabled","Bedford","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","EO","35","30","27820","27570"
"In post","2021","Declared disabled","Bedford","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Outside London","AO","80","70","20900","21430"
"In post","2021","Declared disabled","Belfast","Outside London","EO","65","60","26290","25560"
"In post","2021","Declared disabled","Belfast","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Outside London","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Outside London","HEO","50","45","31950","31810"
"In post","2021","Declared disabled","Belfast","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Outside London","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","AO","90","85","27880","25110"
"In post","2021","Declared disabled","Berkshire","Outside London","EO","100","95","30390","29290"
"In post","2021","Declared disabled","Berkshire","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","HEO","45","40","35870","34640"
"In post","2021","Declared disabled","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","SEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Outside London","Unknown","35","30","30450","31980"
"In post","2021","Declared disabled","Bexley and Greenwich","London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","London","AO","55","55","27520","25110"
"In post","2021","Declared disabled","Bexley and Greenwich","London","EO","70","65","32120","31060"
"In post","2021","Declared disabled","Bexley and Greenwich","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","London","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Outside London","AA","40","40","19020","19230"
"In post","2021","Declared disabled","Birmingham","Outside London","AO","355","310","21180","20650"
"In post","2021","Declared disabled","Birmingham","Outside London","EO","410","370","26750","27570"
"In post","2021","Declared disabled","Birmingham","Outside London","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Outside London","G7","70","65","54500","52580"
"In post","2021","Declared disabled","Birmingham","Outside London","HEO","205","190","32190","31810"
"In post","2021","Declared disabled","Birmingham","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Outside London","SEO","95","90","40730","39100"
"In post","2021","Declared disabled","Birmingham","Outside London","Unknown","80","75","30500","29200"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","EO","40","35","27400","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Outside London","AO","300","260","20840","21010"
"In post","2021","Declared disabled","Blackpool","Outside London","EO","275","240","27450","27570"
"In post","2021","Declared disabled","Blackpool","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Outside London","G7","35","30","51440","49170"
"In post","2021","Declared disabled","Blackpool","Outside London","HEO","80","75","32580","31990"
"In post","2021","Declared disabled","Blackpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Outside London","SEO","60","55","36910","35870"
"In post","2021","Declared disabled","Blackpool","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","EO","60","55","27000","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Outside London","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Outside London","AO","145","110","20640","21010"
"In post","2021","Declared disabled","Bradford","Outside London","EO","110","95","26880","27570"
"In post","2021","Declared disabled","Bradford","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Outside London","HEO","25","25","[c]","[c]"
