"Status","Year","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","200","195","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","70","65","31800","30950"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","80","75","32650","29180"
"In post","2021","Animal and Plant Health Agency","East of England","145","140","31340","29180"
"In post","2021","Animal and Plant Health Agency","London","110","105","37060","31800"
"In post","2021","Animal and Plant Health Agency","North East (England)","40","40","32280","27560"
"In post","2021","Animal and Plant Health Agency","North West (England)","275","260","27980","24920"
"In post","2021","Animal and Plant Health Agency","Scotland","130","125","31770","26520"
"In post","2021","Animal and Plant Health Agency","South East (England)","675","645","32940","28630"
"In post","2021","Animal and Plant Health Agency","South West (England)","420","395","29100","25100"
"In post","2021","Animal and Plant Health Agency","Wales","320","300","28280","25100"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","270","250","29570","26520"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","210","200","29400","25520"
"In post","2021","Attorney General's Office","London","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","25","25","48110","39190"
"In post","2021","Cabinet Office (excl. agencies)","East of England","115","110","46760","38460"
"In post","2021","Cabinet Office (excl. agencies)","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","415","390","29430","24570"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","455","445","46810","42410"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","80","80","48190","49700"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","220","210","42660","33950"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","185","185","53790","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","600","595","36250","32000"
"In post","2021","Cabinet Office (excl. agencies)","Wales","65","65","38410","30370"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","50","50","62730","52530"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","735","700","36340","33030"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","460","440","34620","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","145","140","32680","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","75","70","42950","37910"
"In post","2021","Charity Commission","North West (England)","305","290","32780","29160"
"In post","2021","Charity Commission","South West (England)","50","45","35580","30350"
"In post","2021","Charity Commission","Wales","5","5","[c]","[c]"
"In post","2021","Companies House","London","5","5","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","20","20","25640","22490"
"In post","2021","Companies House","Scotland","40","40","24810","22490"
"In post","2021","Companies House","Wales","1030","950","31130","27460"
"In post","2021","Competition and Markets Authority","London","785","760","60810","56630"
"In post","2021","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","305","280","26120","22640"
"In post","2021","Crown Commercial Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","170","160","35020","33340"
"In post","2021","Crown Commercial Service","London","70","70","50350","49300"
"In post","2021","Crown Commercial Service","North West (England)","405","390","38230","34800"
"In post","2021","Crown Commercial Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","110","105","33670","31680"
"In post","2021","Crown Commercial Service","West Midlands (England)","30","30","29370","27770"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","2020","1875","35720","29040"
"In post","2021","Crown Prosecution Service","East Midlands (England)","440","410","38240","34480"
"In post","2021","Crown Prosecution Service","East of England","480","430","40480","34480"
"In post","2021","Crown Prosecution Service","London","1690","1595","44520","39750"
"In post","2021","Crown Prosecution Service","North East (England)","340","310","38010","32370"
"In post","2021","Crown Prosecution Service","North West (England)","955","895","39360","34480"
"In post","2021","Crown Prosecution Service","Overseas","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","South East (England)","690","645","42200","37890"
"In post","2021","Crown Prosecution Service","South West (England)","290","270","39770","34480"
"In post","2021","Crown Prosecution Service","Wales","360","330","41230","38470"
"In post","2021","Crown Prosecution Service","West Midlands (England)","555","520","40000","38000"
