"Status","Year","Age","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","London","Inner London - West","15","15","26930","27680"
"In post","2021","16-19","Analysis","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","Northumberland and Tyne and Wear","15","15","20140","20140"
"In post","2021","16-19","Debt","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","Eastern Scotland","15","15","20460","20140"
