"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AO","170","150","22850","23520"
"In post","2021","Asian","Attorney General's Departments","EO","170","160","27960","27580"
"In post","2021","Asian","Attorney General's Departments","G6","70","70","67610","65710"
"In post","2021","Asian","Attorney General's Departments","G7","345","315","54650","51830"
"In post","2021","Asian","Attorney General's Departments","HEO","105","105","36290","35290"
"In post","2021","Asian","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","80","75","27800","27500"
"In post","2021","Asian","Cabinet Office","G6","35","35","67640","66440"
"In post","2021","Asian","Cabinet Office","G7","135","135","56050","54700"
"In post","2021","Asian","Cabinet Office","HEO","110","110","34690","34550"
"In post","2021","Asian","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO","65","60","40970","40600"
"In post","2021","Asian","Chancellor's other departments","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G7","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","AO","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","EO","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G6","15","15","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G7","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","HEO","30","30","35430","34870"
"In post","2021","Asian","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","AA","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","AO","80","70","22180","20880"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","EO","125","120","27610","27680"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","G6","30","30","68460","66540"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","G7","130","130","55030","53600"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","HEO","185","180","34030","33570"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","SEO","140","135","41780","40220"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","G6","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","G7","40","40","56240","52130"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","HEO","50","50","37640","35090"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","AO","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","EO","135","130","26530","25000"
"In post","2021","Asian","Department for Education","G6","40","40","65760","65370"
"In post","2021","Asian","Department for Education","G7","135","130","52200","50970"
"In post","2021","Asian","Department for Education","HEO","180","175","31860","31000"
"In post","2021","Asian","Department for Education","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education","SEO","200","195","39370","40230"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","AO","60","60","22270","21050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","EO","75","70","27560","28170"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","G6","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","G7","45","45","53990","53800"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","HEO","80","80","32910","32600"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","SEO","65","65","39010","38750"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","EO","30","30","27370","26510"
"In post","2021","Asian","Department for International Trade","G6","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","G7","55","55","52340","51970"
"In post","2021","Asian","Department for International Trade","HEO","50","50","32200","32120"
"In post","2021","Asian","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","SEO","50","50","38590","38540"
"In post","2021","Asian","Department for Transport","AA","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","AO","70","65","23930","21590"
"In post","2021","Asian","Department for Transport","EO","115","115","28950","29970"
"In post","2021","Asian","Department for Transport","G6","30","30","70670","66230"
"In post","2021","Asian","Department for Transport","G7","85","80","57130","54760"
"In post","2021","Asian","Department for Transport","HEO","110","105","34480","34930"
"In post","2021","Asian","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","SEO","95","90","45900","43360"
"In post","2021","Asian","Department for Work and Pensions","AA","35","25","20130","20230"
"In post","2021","Asian","Department for Work and Pensions","AO","2205","1850","21800","21010"
"In post","2021","Asian","Department for Work and Pensions","EO","4510","4165","29010","27570"
"In post","2021","Asian","Department for Work and Pensions","G6","20","20","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","G7","90","90","54570","54070"
"In post","2021","Asian","Department for Work and Pensions","HEO","370","355","35070","36040"
"In post","2021","Asian","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","SEO","155","155","42890","39960"
"In post","2021","Asian","Department of Health and Social Care","AA","25","20","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","AO","120","105","22260","22830"
"In post","2021","Asian","Department of Health and Social Care","EO","220","210","26880","27150"
"In post","2021","Asian","Department of Health and Social Care","G6","55","55","68290","66870"
"In post","2021","Asian","Department of Health and Social Care","G7","160","155","54190","53620"
"In post","2021","Asian","Department of Health and Social Care","HEO","270","260","32670","32790"
"In post","2021","Asian","Department of Health and Social Care","SCS level","95","85","103970","99310"
"In post","2021","Asian","Department of Health and Social Care","SEO","210","200","40750","40650"
"In post","2021","Asian","ESTYN","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","EO","10","10","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","G7","5","5","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","AO","50","50","26980","28000"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","EO","100","100","30230","30500"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","G6","40","40","67480","65710"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","G7","90","90","55690","55620"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","HEO","135","130","36070","36360"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","SCS level","20","20","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","SEO","35","35","43730","42590"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","AO","75","70","22900","22350"
"In post","2021","Asian","HM Land Registry","EO","70","60","27940","27130"
"In post","2021","Asian","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","G7","10","10","[c]","[c]"
"In post","2021","Asian","HM Land Registry","HEO","30","30","35250","33840"
"In post","2021","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","SEO","20","20","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","AA","30","25","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","AO","1385","1210","21150","20140"
"In post","2021","Asian","HM Revenue and Customs","EO","1080","1025","27270","25560"
