"Status","Year","Ethnicity","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Female","340","305","30220","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Male","205","200","31730","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","350","315","30140","27990"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","250","245","31390","28700"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Asian","Cheshire","Outside London","Male","30","30","30690","27570"
"In post","2021","Asian","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Asian","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Female","365","325","29360","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Male","280","270","30550","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Asian","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Outside London","Female","195","160","25310","21430"
"In post","2021","Asian","East Anglia","Outside London","Male","170","160","29310","25310"
"In post","2021","Asian","East Anglia","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","Outside London","Female","160","145","29730","25720"
"In post","2021","Asian","East Wales","Outside London","Male","175","170","31010","25560"
"In post","2021","Asian","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Outside London","Female","110","100","31640","27570"
"In post","2021","Asian","Eastern Scotland","Outside London","Male","80","80","33190","27570"
"In post","2021","Asian","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","Outside London","Female","120","105","32830","29290"
"In post","2021","Asian","Essex","Outside London","Male","95","90","37170","29290"
"In post","2021","Asian","Essex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","320","290","33390","28590"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","370","365","35720","32860"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","Outside London","Female","640","570","27770","25560"
"In post","2021","Asian","Greater Manchester","Outside London","Male","725","715","29840","27570"
